COU,Country,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
NLD,Netherlands,BULKY,Bulky waste,1995,1995,TONNE,Tonnes,3,Thousands,,,1562.0,,
NLD,Netherlands,BULKY,Bulky waste,1996,1996,TONNE,Tonnes,3,Thousands,,,1559.0,,
NLD,Netherlands,BULKY,Bulky waste,1997,1997,TONNE,Tonnes,3,Thousands,,,1749.0,,
NLD,Netherlands,BULKY,Bulky waste,1998,1998,TONNE,Tonnes,3,Thousands,,,1768.0,,
NLD,Netherlands,BULKY,Bulky waste,1999,1999,TONNE,Tonnes,3,Thousands,,,1852.0,,
NLD,Netherlands,BULKY,Bulky waste,2000,2000,TONNE,Tonnes,3,Thousands,,,2011.0,,
NLD,Netherlands,BULKY,Bulky waste,2001,2001,TONNE,Tonnes,3,Thousands,,,2045.0,,
NLD,Netherlands,BULKY,Bulky waste,2002,2002,TONNE,Tonnes,3,Thousands,,,2205.0,,
NLD,Netherlands,BULKY,Bulky waste,2003,2003,TONNE,Tonnes,3,Thousands,,,2176.0,,
NLD,Netherlands,BULKY,Bulky waste,2004,2004,TONNE,Tonnes,3,Thousands,,,2260.0,,
NLD,Netherlands,BULKY,Bulky waste,2005,2005,TONNE,Tonnes,3,Thousands,,,2305.0,,
NLD,Netherlands,BULKY,Bulky waste,2006,2006,TONNE,Tonnes,3,Thousands,,,2327.0,,
NLD,Netherlands,BULKY,Bulky waste,2007,2007,TONNE,Tonnes,3,Thousands,,,2406.0,,
NLD,Netherlands,BULKY,Bulky waste,2008,2008,TONNE,Tonnes,3,Thousands,,,2352.0,,
NLD,Netherlands,BULKY,Bulky waste,2009,2009,TONNE,Tonnes,3,Thousands,,,2348.0,,
NLD,Netherlands,BULKY,Bulky waste,2010,2010,TONNE,Tonnes,3,Thousands,,,2265.0,,
NLD,Netherlands,BULKY,Bulky waste,2011,2011,TONNE,Tonnes,3,Thousands,,,2260.0,,
NLD,Netherlands,BULKY,Bulky waste,2012,2012,TONNE,Tonnes,3,Thousands,,,2160.0,,
NLD,Netherlands,BULKY,Bulky waste,2013,2013,TONNE,Tonnes,3,Thousands,,,2075.0,,
NLD,Netherlands,BULKY,Bulky waste,2014,2014,TONNE,Tonnes,3,Thousands,,,2114.0,,
NLD,Netherlands,BULKY,Bulky waste,2015,2015,TONNE,Tonnes,3,Thousands,,,2145.0,,
NLD,Netherlands,BULKY,Bulky waste,2016,2016,TONNE,Tonnes,3,Thousands,,,2197.0,,
NLD,Netherlands,BULKY,Bulky waste,2017,2017,TONNE,Tonnes,3,Thousands,,,2198.0,,
NLD,Netherlands,BULKY,Bulky waste,2018,2018,TONNE,Tonnes,3,Thousands,,,2298.0,,
LUX,Luxembourg,BULKY,Bulky waste,1995,1995,TONNE,Tonnes,3,Thousands,,,12.94,,
LUX,Luxembourg,BULKY,Bulky waste,1996,1996,TONNE,Tonnes,3,Thousands,,,12.15,,
LUX,Luxembourg,BULKY,Bulky waste,1997,1997,TONNE,Tonnes,3,Thousands,,,14.61,,
LUX,Luxembourg,BULKY,Bulky waste,1998,1998,TONNE,Tonnes,3,Thousands,,,10.25,,
LUX,Luxembourg,BULKY,Bulky waste,1999,1999,TONNE,Tonnes,3,Thousands,,,13.34,,
LUX,Luxembourg,BULKY,Bulky waste,2000,2000,TONNE,Tonnes,3,Thousands,,,13.27,,
LUX,Luxembourg,BULKY,Bulky waste,2001,2001,TONNE,Tonnes,3,Thousands,,,13.85,,
LUX,Luxembourg,BULKY,Bulky waste,2002,2002,TONNE,Tonnes,3,Thousands,,,14.08,,
LUX,Luxembourg,BULKY,Bulky waste,2003,2003,TONNE,Tonnes,3,Thousands,,,0.0,,
LUX,Luxembourg,BULKY,Bulky waste,2004,2004,TONNE,Tonnes,3,Thousands,,,0.0,,
LUX,Luxembourg,BULKY,Bulky waste,2005,2005,TONNE,Tonnes,3,Thousands,,,0.0,,
LUX,Luxembourg,BULKY,Bulky waste,2006,2006,TONNE,Tonnes,3,Thousands,,,0.0,,
LUX,Luxembourg,BULKY,Bulky waste,2007,2007,TONNE,Tonnes,3,Thousands,,,0.0,,
