COU,Country,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUT,Austria,COMPOST,Composting,1990,1990,TONNE,Tonnes,3,Thousands,,,814.0,,
AUT,Austria,COMPOST,Composting,1991,1991,TONNE,Tonnes,3,Thousands,,,308.0,,
AUT,Austria,COMPOST,Composting,1992,1992,TONNE,Tonnes,3,Thousands,,,332.0,,
AUT,Austria,COMPOST,Composting,1993,1993,TONNE,Tonnes,3,Thousands,,,451.0,,
AUT,Austria,COMPOST,Composting,1994,1994,TONNE,Tonnes,3,Thousands,,,485.0,,
AUT,Austria,COMPOST,Composting,1995,1995,TONNE,Tonnes,3,Thousands,,,936.0,,
AUT,Austria,COMPOST,Composting,1996,1996,TONNE,Tonnes,3,Thousands,,,1674.0,B,Break
AUT,Austria,COMPOST,Composting,1997,1997,TONNE,Tonnes,3,Thousands,,,1752.0,,
AUT,Austria,COMPOST,Composting,1998,1998,TONNE,Tonnes,3,Thousands,,,1744.0,,
AUT,Austria,COMPOST,Composting,1999,1999,TONNE,Tonnes,3,Thousands,,,1792.0,,
AUT,Austria,COMPOST,Composting,2000,2000,TONNE,Tonnes,3,Thousands,,,1818.0,,
AUT,Austria,COMPOST,Composting,2001,2001,TONNE,Tonnes,3,Thousands,,,1855.0,E,Estimated value
AUT,Austria,COMPOST,Composting,2002,2002,TONNE,Tonnes,3,Thousands,,,1955.0,E,Estimated value
AUT,Austria,COMPOST,Composting,2003,2003,TONNE,Tonnes,3,Thousands,,,2055.0,E,Estimated value
AUT,Austria,COMPOST,Composting,2004,2004,TONNE,Tonnes,3,Thousands,,,1572.0,,
AUT,Austria,COMPOST,Composting,2005,2005,TONNE,Tonnes,3,Thousands,,,1577.0,E,Estimated value
AUT,Austria,COMPOST,Composting,2006,2006,TONNE,Tonnes,3,Thousands,,,1661.4,,
AUT,Austria,COMPOST,Composting,2007,2007,TONNE,Tonnes,3,Thousands,,,1661.1,,
AUT,Austria,COMPOST,Composting,2008,2008,TONNE,Tonnes,3,Thousands,,,1682.6,,
AUT,Austria,COMPOST,Composting,2009,2009,TONNE,Tonnes,3,Thousands,,,1553.2,,
AUT,Austria,COMPOST,Composting,2010,2010,TONNE,Tonnes,3,Thousands,,,1520.0,,
AUT,Austria,COMPOST,Composting,2011,2011,TONNE,Tonnes,3,Thousands,,,1578.0,,
AUT,Austria,COMPOST,Composting,2012,2012,TONNE,Tonnes,3,Thousands,,,1650.0,,
AUT,Austria,COMPOST,Composting,2013,2013,TONNE,Tonnes,3,Thousands,,,1626.6,,
AUT,Austria,COMPOST,Composting,2014,2014,TONNE,Tonnes,3,Thousands,,,1492.3,,
AUT,Austria,COMPOST,Composting,2015,2015,TONNE,Tonnes,3,Thousands,,,1511.0,,
AUT,Austria,COMPOST,Composting,2016,2016,TONNE,Tonnes,3,Thousands,,,1583.8,,
AUT,Austria,COMPOST,Composting,2017,2017,TONNE,Tonnes,3,Thousands,,,1601.1,,
AUT,Austria,COMPOST,Composting,2018,2018,TONNE,Tonnes,3,Thousands,,,1650.6,,
AUT,Austria,COMPOST,Composting,2019,2019,TONNE,Tonnes,3,Thousands,,,1676.64,E,Estimated value
BEL,Belgium,COMPOST,Composting,1990,1990,TONNE,Tonnes,3,Thousands,,,237.0,,
BEL,Belgium,COMPOST,Composting,1991,1991,TONNE,Tonnes,3,Thousands,,,248.0,,
BEL,Belgium,COMPOST,Composting,1992,1992,TONNE,Tonnes,3,Thousands,,,282.0,,
BEL,Belgium,COMPOST,Composting,1993,1993,TONNE,Tonnes,3,Thousands,,,292.0,,
BEL,Belgium,COMPOST,Composting,1994,1994,TONNE,Tonnes,3,Thousands,,,329.0,,
BEL,Belgium,COMPOST,Composting,1995,1995,TONNE,Tonnes,3,Thousands,,,363.487,,
BEL,Belgium,COMPOST,Composting,1996,1996,TONNE,Tonnes,3,Thousands,,,495.141,,
BEL,Belgium,COMPOST,Composting,1997,1997,TONNE,Tonnes,3,Thousands,,,758.97,,
BEL,Belgium,COMPOST,Composting,1998,1998,TONNE,Tonnes,3,Thousands,,,849.828,,
BEL,Belgium,COMPOST,Composting,1999,1999,TONNE,Tonnes,3,Thousands,,,950.772,,
BEL,Belgium,COMPOST,Composting,2000,2000,TONNE,Tonnes,3,Thousands,,,1090.73,,
BEL,Belgium,COMPOST,Composting,2001,2001,TONNE,Tonnes,3,Thousands,,,1029.52,,
BEL,Belgium,COMPOST,Composting,2002,2002,TONNE,Tonnes,3,Thousands,,,1097.615,,
BEL,Belgium,COMPOST,Composting,2003,2003,TONNE,Tonnes,3,Thousands,,,1123.208,,
BEL,Belgium,COMPOST,Composting,2004,2004,TONNE,Tonnes,3,Thousands,,,1208.075,,
BEL,Belgium,COMPOST,Composting,2005,2005,TONNE,Tonnes,3,Thousands,,,1172.763,,
BEL,Belgium,COMPOST,Composting,2006,2006,TONNE,Tonnes,3,Thousands,,,1189.814,,
BEL,Belgium,COMPOST,Composting,2007,2007,TONNE,Tonnes,3,Thousands,,,1235.937,,
BEL,Belgium,COMPOST,Composting,2008,2008,TONNE,Tonnes,3,Thousands,,,1046.797,,
BEL,Belgium,COMPOST,Composting,2009,2009,TONNE,Tonnes,3,Thousands,,,1025.432,,
BEL,Belgium,COMPOST,Composting,2010,2010,TONNE,Tonnes,3,Thousands,,,1056.539,,
BEL,Belgium,COMPOST,Composting,2011,2011,TONNE,Tonnes,3,Thousands,,,1028.264,,
BEL,Belgium,COMPOST,Composting,2012,2012,TONNE,Tonnes,3,Thousands,,,1037.931,,
BEL,Belgium,COMPOST,Composting,2013,2013,TONNE,Tonnes,3,Thousands,,,1030.489,,
BEL,Belgium,COMPOST,Composting,2014,2014,TONNE,Tonnes,3,Thousands,,,969.82,,
BEL,Belgium,COMPOST,Composting,2015,2015,TONNE,Tonnes,3,Thousands,,,899.687,,
BEL,Belgium,COMPOST,Composting,2016,2016,TONNE,Tonnes,3,Thousands,,,965.784,,
BEL,Belgium,COMPOST,Composting,2017,2017,TONNE,Tonnes,3,Thousands,,,923.751,,
BEL,Belgium,COMPOST,Composting,2018,2018,TONNE,Tonnes,3,Thousands,,,931.559,,
BEL,Belgium,COMPOST,Composting,2019,2019,TONNE,Tonnes,3,Thousands,,,982.363,,
BEL,Belgium,COMPOST,Composting,2020,2020,TONNE,Tonnes,3,Thousands,,,907.875,,
CAN,Canada,COMPOST,Composting,1996,1996,TONNE,Tonnes,3,Thousands,,,576.77,,
CAN,Canada,COMPOST,Composting,1998,1998,TONNE,Tonnes,3,Thousands,,,678.12,,
CAN,Canada,COMPOST,Composting,2000,2000,TONNE,Tonnes,3,Thousands,,,979.79,,
CAN,Canada,COMPOST,Composting,2002,2002,TONNE,Tonnes,3,Thousands,,,1310.79,,
CAN,Canada,COMPOST,Composting,2004,2004,TONNE,Tonnes,3,Thousands,,,1519.6,,
CAN,Canada,COMPOST,Composting,2006,2006,TONNE,Tonnes,3,Thousands,,,1906.114,,
CAN,Canada,COMPOST,Composting,2008,2008,TONNE,Tonnes,3,Thousands,,,2332.3,,
CAN,Canada,COMPOST,Composting,2010,2010,TONNE,Tonnes,3,Thousands,,,2212.48,,
CAN,Canada,COMPOST,Composting,2012,2012,TONNE,Tonnes,3,Thousands,,,2453.33,,
CAN,Canada,COMPOST,Composting,2014,2014,TONNE,Tonnes,3,Thousands,,,2686.532,,
CAN,Canada,COMPOST,Composting,2016,2016,TONNE,Tonnes,3,Thousands,,,2595.614,,
CAN,Canada,COMPOST,Composting,2018,2018,TONNE,Tonnes,3,Thousands,,,2872.96,,
CZE,Czech Republic,COMPOST,Composting,1995,1995,TONNE,Tonnes,3,Thousands,,,0.0,,
CZE,Czech Republic,COMPOST,Composting,1996,1996,TONNE,Tonnes,3,Thousands,,,0.0,,
CZE,Czech Republic,COMPOST,Composting,1997,1997,TONNE,Tonnes,3,Thousands,,,0.0,,
CZE,Czech Republic,COMPOST,Composting,1998,1998,TONNE,Tonnes,3,Thousands,,,0.0,,
CZE,Czech Republic,COMPOST,Composting,1999,1999,TONNE,Tonnes,3,Thousands,,,11.0,,
CZE,Czech Republic,COMPOST,Composting,2000,2000,TONNE,Tonnes,3,Thousands,,,11.0,,
CZE,Czech Republic,COMPOST,Composting,2001,2001,TONNE,Tonnes,3,Thousands,,,9.0,,
CZE,Czech Republic,COMPOST,Composting,2002,2002,TONNE,Tonnes,3,Thousands,,,10.0,,
