COU,Country,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUT,Austria,COMPST_SHARE,% Composting,1990,1990,PC,Percentage,0,Units,,,23.171,,
AUT,Austria,COMPST_SHARE,% Composting,1991,1991,PC,Percentage,0,Units,,,11.119,,
AUT,Austria,COMPST_SHARE,% Composting,1992,1992,PC,Percentage,0,Units,,,11.761,,
AUT,Austria,COMPST_SHARE,% Composting,1993,1993,PC,Percentage,0,Units,,,15.606,,
AUT,Austria,COMPST_SHARE,% Composting,1994,1994,PC,Percentage,0,Units,,,16.593,,
AUT,Austria,COMPST_SHARE,% Composting,1995,1995,PC,Percentage,0,Units,,,24.407,,
AUT,Austria,COMPST_SHARE,% Composting,1996,1996,PC,Percentage,0,Units,,,37.333,,
AUT,Austria,COMPST_SHARE,% Composting,1997,1997,PC,Percentage,0,Units,,,37.5,,
AUT,Austria,COMPST_SHARE,% Composting,1998,1998,PC,Percentage,0,Units,,,37.297,,
AUT,Austria,COMPST_SHARE,% Composting,1999,1999,PC,Percentage,0,Units,,,36.684,,
AUT,Austria,COMPST_SHARE,% Composting,2000,2000,PC,Percentage,0,Units,,,35.865,,
AUT,Austria,COMPST_SHARE,% Composting,2001,2001,PC,Percentage,0,Units,,,36.559,,
AUT,Austria,COMPST_SHARE,% Composting,2002,2002,PC,Percentage,0,Units,,,37.991,,
AUT,Austria,COMPST_SHARE,% Composting,2003,2003,PC,Percentage,0,Units,,,38.928,,
AUT,Austria,COMPST_SHARE,% Composting,2004,2004,PC,Percentage,0,Units,,,33.989,,
AUT,Austria,COMPST_SHARE,% Composting,2005,2005,PC,Percentage,0,Units,,,34.273,,
AUT,Austria,COMPST_SHARE,% Composting,2006,2006,PC,Percentage,0,Units,,,34.368,,
AUT,Austria,COMPST_SHARE,% Composting,2007,2007,PC,Percentage,0,Units,,,34.183,,
AUT,Austria,COMPST_SHARE,% Composting,2008,2008,PC,Percentage,0,Units,,,34.418,,
AUT,Austria,COMPST_SHARE,% Composting,2009,2009,PC,Percentage,0,Units,,,32.442,,
AUT,Austria,COMPST_SHARE,% Composting,2010,2010,PC,Percentage,0,Units,,,33.175,,
AUT,Austria,COMPST_SHARE,% Composting,2011,2011,PC,Percentage,0,Units,,,34.07,,
AUT,Austria,COMPST_SHARE,% Composting,2012,2012,PC,Percentage,0,Units,,,34.971,,
AUT,Austria,COMPST_SHARE,% Composting,2013,2013,PC,Percentage,0,Units,,,34.291,,
AUT,Austria,COMPST_SHARE,% Composting,2014,2014,PC,Percentage,0,Units,,,31.933,,
AUT,Austria,COMPST_SHARE,% Composting,2015,2015,PC,Percentage,0,Units,,,31.96,,
AUT,Austria,COMPST_SHARE,% Composting,2016,2016,PC,Percentage,0,Units,,,32.824,,
AUT,Austria,COMPST_SHARE,% Composting,2017,2017,PC,Percentage,0,Units,,,32.384,,
AUT,Austria,COMPST_SHARE,% Composting,2018,2018,PC,Percentage,0,Units,,,32.744,,
AUT,Austria,COMPST_SHARE,% Composting,2019,2019,PC,Percentage,0,Units,,,32.563,,
BEL,Belgium,COMPST_SHARE,% Composting,1990,1990,PC,Percentage,0,Units,,,5.983,,
BEL,Belgium,COMPST_SHARE,% Composting,1991,1991,PC,Percentage,0,Units,,,6.038,,
BEL,Belgium,COMPST_SHARE,% Composting,1992,1992,PC,Percentage,0,Units,,,6.654,,
BEL,Belgium,COMPST_SHARE,% Composting,1993,1993,PC,Percentage,0,Units,,,6.58,,
BEL,Belgium,COMPST_SHARE,% Composting,1994,1994,PC,Percentage,0,Units,,,7.152,,
BEL,Belgium,COMPST_SHARE,% Composting,1995,1995,PC,Percentage,0,Units,,,8.035,,
BEL,Belgium,COMPST_SHARE,% Composting,1996,1996,PC,Percentage,0,Units,,,11.198,,
BEL,Belgium,COMPST_SHARE,% Composting,1997,1997,PC,Percentage,0,Units,,,16.395,,
BEL,Belgium,COMPST_SHARE,% Composting,1998,1998,PC,Percentage,0,Units,,,18.446,,
BEL,Belgium,COMPST_SHARE,% Composting,1999,1999,PC,Percentage,0,Units,,,20.63,,
BEL,Belgium,COMPST_SHARE,% Composting,2000,2000,PC,Percentage,0,Units,,,21.995,,
BEL,Belgium,COMPST_SHARE,% Composting,2001,2001,PC,Percentage,0,Units,,,21.767,,
BEL,Belgium,COMPST_SHARE,% Composting,2002,2002,PC,Percentage,0,Units,,,22.4,,
BEL,Belgium,COMPST_SHARE,% Composting,2003,2003,PC,Percentage,0,Units,,,22.948,,
BEL,Belgium,COMPST_SHARE,% Composting,2004,2004,PC,Percentage,0,Units,,,23.706,,
BEL,Belgium,COMPST_SHARE,% Composting,2005,2005,PC,Percentage,0,Units,,,22.215,,
BEL,Belgium,COMPST_SHARE,% Composting,2006,2006,PC,Percentage,0,Units,,,23.11,,
BEL,Belgium,COMPST_SHARE,% Composting,2007,2007,PC,Percentage,0,Units,,,22.66,,
BEL,Belgium,COMPST_SHARE,% Composting,2008,2008,PC,Percentage,0,Units,,,21.112,,
BEL,Belgium,COMPST_SHARE,% Composting,2009,2009,PC,Percentage,0,Units,,,21.152,,
BEL,Belgium,COMPST_SHARE,% Composting,2010,2010,PC,Percentage,0,Units,,,21.963,,
BEL,Belgium,COMPST_SHARE,% Composting,2011,2011,PC,Percentage,0,Units,,,21.23,,
BEL,Belgium,COMPST_SHARE,% Composting,2012,2012,PC,Percentage,0,Units,,,21.681,,
BEL,Belgium,COMPST_SHARE,% Composting,2013,2013,PC,Percentage,0,Units,,,21.418,,
BEL,Belgium,COMPST_SHARE,% Composting,2014,2014,PC,Percentage,0,Units,,,20.395,,
BEL,Belgium,COMPST_SHARE,% Composting,2015,2015,PC,Percentage,0,Units,,,19.376,,
BEL,Belgium,COMPST_SHARE,% Composting,2016,2016,PC,Percentage,0,Units,,,20.323,,
BEL,Belgium,COMPST_SHARE,% Composting,2017,2017,PC,Percentage,0,Units,,,19.941,,
BEL,Belgium,COMPST_SHARE,% Composting,2018,2018,PC,Percentage,0,Units,,,19.916,,
BEL,Belgium,COMPST_SHARE,% Composting,2019,2019,PC,Percentage,0,Units,,,20.557,,
BEL,Belgium,COMPST_SHARE,% Composting,2020,2020,PC,Percentage,0,Units,,,18.915,,
CAN,Canada,COMPST_SHARE,% Composting,1996,1996,PC,Percentage,0,Units,,,3.374,,
CAN,Canada,COMPST_SHARE,% Composting,1998,1998,PC,Percentage,0,Units,,,2.846,,
CAN,Canada,COMPST_SHARE,% Composting,2000,2000,PC,Percentage,0,Units,,,3.343,,
CAN,Canada,COMPST_SHARE,% Composting,2002,2002,PC,Percentage,0,Units,,,4.266,,
CAN,Canada,COMPST_SHARE,% Composting,2004,2004,PC,Percentage,0,Units,,,4.699,,
CAN,Canada,COMPST_SHARE,% Composting,2006,2006,PC,Percentage,0,Units,,,5.599,,
CAN,Canada,COMPST_SHARE,% Composting,2008,2008,PC,Percentage,0,Units,,,6.812,,
CAN,Canada,COMPST_SHARE,% Composting,2010,2010,PC,Percentage,0,Units,,,6.695,,
CAN,Canada,COMPST_SHARE,% Composting,2012,2012,PC,Percentage,0,Units,,,7.402,,
CAN,Canada,COMPST_SHARE,% Composting,2014,2014,PC,Percentage,0,Units,,,7.939,,
CAN,Canada,COMPST_SHARE,% Composting,2016,2016,PC,Percentage,0,Units,,,7.586,,
CAN,Canada,COMPST_SHARE,% Composting,2018,2018,PC,Percentage,0,Units,,,8.081,,
CZE,Czech Republic,COMPST_SHARE,% Composting,1995,1995,PC,Percentage,0,Units,,,0.0,,
CZE,Czech Republic,COMPST_SHARE,% Composting,1996,1996,PC,Percentage,0,Units,,,0.0,,
CZE,Czech Republic,COMPST_SHARE,% Composting,1997,1997,PC,Percentage,0,Units,,,0.0,,
