Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
Luxembourg,"$135,683","$116,356","$113,219","$117,255","$110,193","$106,899","$105,462","$123,679","$120,000","$112,585","$119,025","$110,886","$109,420","$120,422","$107,475","$90,789","$80,988","$76,545","$65,689","$53,006","$48,440","$48,660","$50,872","$47,445","$46,642","$50,444","$51,032","$43,933","$40,067","$39,571","$35,747","$33,465","$26,618","$25,219","$22,443","$18,150","$12,482","$12,127","$12,374","$12,591","$13,837","$16,531","$15,204","$13,034","$10,486","$9,491","$8,701","$8,967","$7,447","$5,487","$4,435","$4,298","$3,659","$3,175","$2,910","$2,900","$2,780","$2,756","$2,441","$2,312","$2,222","$2,242"
Bermuda,"$110,869","$107,706","$116,153","$113,051","$111,821","$106,886","$102,006","$98,468","$99,472","$98,432","$97,774","$101,875","$101,408","$106,935","$104,287","$95,222","$75,882","$70,359","$66,112","$62,583","$58,884","$56,284","$54,245","$51,372","$48,479","$44,827","$33,990","$31,476","$30,901","$28,670","$27,700","$26,842","$25,518","$24,253","$22,412","$20,451","$18,270","$17,470","$15,902","$14,166","$13,426","$11,218","$9,613","$8,877","$8,371","$7,261","$6,509","$5,854","$5,009","$4,343","$3,866","$3,387","$3,054","$2,830","$2,983","$2,631","$2,282","$2,200","$2,020","$2,020","$1,962","$1,902"
Ireland,"$99,152","$85,423","$80,887","$79,108","$69,774","$62,862","$62,012","$55,600","$51,533","$49,026","$52,177","$48,655","$52,133","$61,353","$61,396","$54,329","$50,933","$47,754","$41,204","$32,705","$28,282","$26,335","$26,338","$24,295","$22,551","$20,836","$19,158","$15,903","$14,657","$15,714","$14,087","$14,031","$11,176","$10,716","$9,582","$8,112","$6,012","$5,692","$5,915","$6,161","$5,986","$6,372","$5,430","$4,400","$3,427","$2,920","$2,973","$2,517","$2,424","$2,080","$1,704","$1,487","$1,291","$1,125","$1,152","$1,075","$1,024",$965,$852,$797,$739,$686
Switzerland,"$93,457","$87,100","$85,335","$86,388","$83,352","$83,073","$84,776","$89,685","$88,109","$86,548","$91,254","$77,117","$72,083","$74,572","$65,360","$59,301","$56,547","$54,878","$49,470","$42,579","$39,728","$38,952","$41,786","$42,740","$41,631","$48,145","$50,156","$43,128","$39,270","$40,748","$39,578","$39,608","$31,335","$32,718","$30,466","$24,480","$17,167","$17,006","$17,874","$18,015","$17,680","$19,410",,,,,,,,,,,"$3,345","$3,122","$2,961","$2,785","$2,620","$2,501","$2,294","$2,131","$1,971","$1,787"
Norway,"$89,203","$67,330","$75,720","$82,268","$75,497","$70,461","$74,356","$97,019","$102,913","$101,524","$100,601","$87,694","$79,978","$96,944","$85,140","$74,148","$66,810","$57,604","$50,135","$43,084","$38,543","$38,131","$36,371","$34,788","$36,629","$37,322","$34,876","$29,316","$27,964","$30,524","$28,597","$28,243","$24,281","$24,207","$22,506","$18,883","$15,754","$14,989","$14,928","$15,225","$15,513","$15,772","$13,047","$11,463","$10,266","$8,927","$8,204","$6,812","$5,690","$4,414","$3,736","$3,306","$2,875","$2,662","$2,514","$2,317","$2,164","$1,938","$1,776","$1,667","$1,560","$1,442"
Singapore,"$72,794","$60,729","$65,831","$66,859","$61,151","$56,860","$55,647","$57,563","$56,967","$55,546","$53,890","$47,237","$38,927","$40,007","$39,433","$33,769","$29,961","$27,609","$23,730","$22,160","$21,700","$23,852","$21,796","$21,829","$26,376","$26,234","$24,914","$21,553","$18,290","$16,136","$14,502","$11,862","$10,395","$8,914","$7,539","$6,800","$7,002","$7,228","$6,633","$6,078","$5,597","$4,928","$3,901","$3,194","$2,846","$2,759","$2,490","$2,342","$1,685","$1,264","$1,071",$926,$813,$709,$626,$567,$517,$486,$511,$472,$449,$428
United-states,"$69,288","$63,028","$65,095","$62,805","$59,915","$57,867","$56,763","$55,124","$53,291","$51,784","$50,066","$48,651","$47,195","$48,570","$48,050","$46,302","$44,123","$41,725","$39,490","$37,998","$37,134","$36,330","$34,515","$32,854","$31,459","$29,968","$28,691","$27,695","$26,387","$25,419","$24,342","$23,889","$22,857","$21,417","$20,039","$19,071","$18,237","$17,121","$15,544","$14,434","$13,976","$12,575","$11,674","$10,565","$9,453","$8,592","$7,801","$7,226","$6,726","$6,094","$5,609","$5,234","$5,032","$4,696","$4,336","$4,146","$3,828","$3,574","$3,375","$3,244","$3,067","$3,007"
Iceland,"$68,384","$59,264","$68,941","$74,470","$72,010","$61,988","$52,952","$54,577","$49,805","$45,996","$47,715","$43,237","$41,301","$56,943","$69,496","$57,493","$56,795","$47,335","$39,477","$32,409","$28,897","$32,096","$32,382","$31,030","$27,919","$27,615","$26,634","$24,019","$23,580","$27,124","$26,803","$25,385","$22,434","$24,452","$22,453","$16,406","$12,361","$11,960","$11,672","$13,712","$15,137","$14,822","$12,641","$11,237","$9,957","$7,583","$6,454","$7,041","$5,437","$4,015","$3,252","$2,576","$2,039","$2,354","$3,126","$3,216","$2,724","$2,298","$1,832","$1,562","$1,418","$1,415"
Denmark,"$67,803","$61,063","$59,776","$61,592","$57,610","$54,664","$53,255","$62,549","$61,191","$58,508","$61,754","$58,041","$58,163","$64,322","$58,487","$52,027","$48,800","$46,512","$40,459","$33,229","$30,752","$30,744","$33,441","$33,368","$32,836","$35,651","$35,351","$29,996","$27,598","$29,570","$27,011","$26,891","$21,901","$22,527","$21,341","$17,201","$12,253","$11,563","$11,858","$11,804","$12,082","$13,884","$13,752","$11,826","$9,784","$8,788","$7,999","$6,771","$6,119","$4,654","$3,846","$3,464","$3,151","$2,776","$2,701","$2,487",,,,,,
Qatar,"$61,276","$50,124","$62,088","$65,908","$59,125","$57,163","$63,039","$83,858","$85,051","$85,076","$82,410","$67,403","$59,095","$80,234","$65,421","$59,531","$51,456","$42,125","$34,518","$30,215","$28,517","$29,976","$21,724","$18,593","$21,105","$17,337","$15,850","$14,544","$14,271","$15,434","$14,124","$15,454","$14,053","$13,611","$12,902","$12,704","$16,591","$19,645","$20,910","$27,402","$34,927","$35,010","$27,455","$21,110","$19,842","$18,906","$15,293","$15,632","$5,584","$3,910","$3,247","$2,756",,,,,,,,,,
