COU,Country,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,HOUSEHOLD,Waste from households,1992,1992,TONNE,Tonnes,3,Thousands,,,7000.0,,
AUS,Australia,HOUSEHOLD,Waste from households,2000,2000,TONNE,Tonnes,3,Thousands,,,7660.0,,
AUS,Australia,HOUSEHOLD,Waste from households,2003,2003,TONNE,Tonnes,3,Thousands,,,8903.0,,
AUS,Australia,HOUSEHOLD,Waste from households,2007,2007,TONNE,Tonnes,3,Thousands,,,12241.4,,
AUS,Australia,HOUSEHOLD,Waste from households,2008,2008,TONNE,Tonnes,3,Thousands,,,12441.68,E,Estimated value
AUS,Australia,HOUSEHOLD,Waste from households,2009,2009,TONNE,Tonnes,3,Thousands,,,12676.074,,
AUS,Australia,HOUSEHOLD,Waste from households,2010,2010,TONNE,Tonnes,3,Thousands,,,12882.481,,
AUS,Australia,HOUSEHOLD,Waste from households,2011,2011,TONNE,Tonnes,3,Thousands,,,12798.87,,
AUS,Australia,HOUSEHOLD,Waste from households,2012,2012,TONNE,Tonnes,3,Thousands,,,12893.72,E,Estimated value
AUS,Australia,HOUSEHOLD,Waste from households,2013,2013,TONNE,Tonnes,3,Thousands,,,13009.93,E,Estimated value
AUS,Australia,HOUSEHOLD,Waste from households,2014,2014,TONNE,Tonnes,3,Thousands,,,13099.915,,
AUS,Australia,HOUSEHOLD,Waste from households,2015,2015,TONNE,Tonnes,3,Thousands,,,13266.019,,
AUS,Australia,HOUSEHOLD,Waste from households,2016,2016,TONNE,Tonnes,3,Thousands,,,12368.326,,
AUS,Australia,HOUSEHOLD,Waste from households,2017,2017,TONNE,Tonnes,3,Thousands,,,11975.075,,
AUS,Australia,HOUSEHOLD,Waste from households,2018,2018,TONNE,Tonnes,3,Thousands,,,12009.404,,
AUS,Australia,HOUSEHOLD,Waste from households,2019,2019,TONNE,Tonnes,3,Thousands,,,11943.144,,
AUT,Austria,HOUSEHOLD,Waste from households,1990,1990,TONNE,Tonnes,3,Thousands,,,2504.0,,
AUT,Austria,HOUSEHOLD,Waste from households,1991,1991,TONNE,Tonnes,3,Thousands,,,2426.0,,
AUT,Austria,HOUSEHOLD,Waste from households,1992,1992,TONNE,Tonnes,3,Thousands,,,2476.0,,
AUT,Austria,HOUSEHOLD,Waste from households,1993,1993,TONNE,Tonnes,3,Thousands,,,2509.0,,
AUT,Austria,HOUSEHOLD,Waste from households,1994,1994,TONNE,Tonnes,3,Thousands,,,2568.0,,
AUT,Austria,HOUSEHOLD,Waste from households,1995,1995,TONNE,Tonnes,3,Thousands,,,2644.0,,
AUT,Austria,HOUSEHOLD,Waste from households,1996,1996,TONNE,Tonnes,3,Thousands,,,2775.0,,
AUT,Austria,HOUSEHOLD,Waste from households,1997,1997,TONNE,Tonnes,3,Thousands,,,2907.0,,
AUT,Austria,HOUSEHOLD,Waste from households,1998,1998,TONNE,Tonnes,3,Thousands,,,2913.0,,
AUT,Austria,HOUSEHOLD,Waste from households,1999,1999,TONNE,Tonnes,3,Thousands,,,3096.0,,
AUT,Austria,HOUSEHOLD,Waste from households,2000,2000,TONNE,Tonnes,3,Thousands,,,3246.0,,
AUT,Austria,HOUSEHOLD,Waste from households,2001,2001,TONNE,Tonnes,3,Thousands,,,3234.0,,
AUT,Austria,HOUSEHOLD,Waste from households,2002,2002,TONNE,Tonnes,3,Thousands,,,3309.0,,
AUT,Austria,HOUSEHOLD,Waste from households,2003,2003,TONNE,Tonnes,3,Thousands,,,3327.0,,
AUT,Austria,HOUSEHOLD,Waste from households,2004,2004,TONNE,Tonnes,3,Thousands,,,3418.7,,
AUT,Austria,HOUSEHOLD,Waste from households,2005,2005,TONNE,Tonnes,3,Thousands,,,3463.7,,
AUT,Austria,HOUSEHOLD,Waste from households,2006,2006,TONNE,Tonnes,3,Thousands,,,3677.7,,
AUT,Austria,HOUSEHOLD,Waste from households,2007,2007,TONNE,Tonnes,3,Thousands,,,3728.0,,
AUT,Austria,HOUSEHOLD,Waste from households,2008,2008,TONNE,Tonnes,3,Thousands,,,3786.0,,
AUT,Austria,HOUSEHOLD,Waste from households,2009,2009,TONNE,Tonnes,3,Thousands,,,3895.0,,
AUT,Austria,HOUSEHOLD,Waste from households,2010,2010,TONNE,Tonnes,3,Thousands,,,3788.5,,
AUT,Austria,HOUSEHOLD,Waste from households,2011,2011,TONNE,Tonnes,3,Thousands,,,3947.2,,
AUT,Austria,HOUSEHOLD,Waste from households,2012,2012,TONNE,Tonnes,3,Thousands,,,4020.3,,
AUT,Austria,HOUSEHOLD,Waste from households,2013,2013,TONNE,Tonnes,3,Thousands,,,4031.7,,
AUT,Austria,HOUSEHOLD,Waste from households,2014,2014,TONNE,Tonnes,3,Thousands,,,4170.2,,
AUT,Austria,HOUSEHOLD,Waste from households,2015,2015,TONNE,Tonnes,3,Thousands,,,4160.0,,
AUT,Austria,HOUSEHOLD,Waste from households,2016,2016,TONNE,Tonnes,3,Thousands,,,4269.0,,
AUT,Austria,HOUSEHOLD,Waste from households,2017,2017,TONNE,Tonnes,3,Thousands,,,4322.0,,
AUT,Austria,HOUSEHOLD,Waste from households,2018,2018,TONNE,Tonnes,3,Thousands,,,4407.7,,
AUT,Austria,HOUSEHOLD,Waste from households,2019,2019,TONNE,Tonnes,3,Thousands,,,4497.95,E,Estimated value
BEL,Belgium,HOUSEHOLD,Waste from households,1990,1990,TONNE,Tonnes,3,Thousands,,,2884.0,,
BEL,Belgium,HOUSEHOLD,Waste from households,1995,1995,TONNE,Tonnes,3,Thousands,,,3646.0,,
BEL,Belgium,HOUSEHOLD,Waste from households,1996,1996,TONNE,Tonnes,3,Thousands,,,3592.0,,
BEL,Belgium,HOUSEHOLD,Waste from households,1997,1997,TONNE,Tonnes,3,Thousands,,,3806.0,,
BEL,Belgium,HOUSEHOLD,Waste from households,1998,1998,TONNE,Tonnes,3,Thousands,,,3832.0,,
BEL,Belgium,HOUSEHOLD,Waste from households,1999,1999,TONNE,Tonnes,3,Thousands,,,3787.0,,
BEL,Belgium,HOUSEHOLD,Waste from households,2000,2000,TONNE,Tonnes,3,Thousands,,,3863.0,,
BEL,Belgium,HOUSEHOLD,Waste from households,2001,2001,TONNE,Tonnes,3,Thousands,,,3797.0,,
BEL,Belgium,HOUSEHOLD,Waste from households,2002,2002,TONNE,Tonnes,3,Thousands,,,3829.0,,
BEL,Belgium,HOUSEHOLD,Waste from households,2003,2003,TONNE,Tonnes,3,Thousands,,,3724.0,,
BEL,Belgium,HOUSEHOLD,Waste from households,2004,2004,TONNE,Tonnes,3,Thousands,,,3894.7,E,Estimated value
BEL,Belgium,HOUSEHOLD,Waste from households,2005,2005,TONNE,Tonnes,3,Thousands,,,3863.6,E,Estimated value
BEL,Belgium,HOUSEHOLD,Waste from households,2006,2006,TONNE,Tonnes,3,Thousands,,,3916.6,E,Estimated value
BEL,Belgium,HOUSEHOLD,Waste from households,2007,2007,TONNE,Tonnes,3,Thousands,,,4042.3,E,Estimated value
BEL,Belgium,HOUSEHOLD,Waste from households,2008,2008,TONNE,Tonnes,3,Thousands,,,4031.9,E,Estimated value
BEL,Belgium,HOUSEHOLD,Waste from households,2009,2009,TONNE,Tonnes,3,Thousands,,,4058.5,E,Estimated value
