COU,Country,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,1995,1995,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,1996,1996,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,1997,1997,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,1998,1998,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,1999,1999,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,2000,2000,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,2001,2001,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,2002,2002,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,2003,2003,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,2004,2004,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,2005,2005,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,2006,2006,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,2007,2007,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,2008,2008,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,2009,2009,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,2010,2010,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,2011,2011,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,2012,2012,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,2013,2013,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,2014,2014,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,2015,2015,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,2016,2016,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,2017,2017,TONNE,Tonnes,3,Thousands,,,0.0,,
AUT,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,2018,2018,TONNE,Tonnes,3,Thousands,,,0.0,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,1990,1990,TONNE,Tonnes,3,Thousands,,,907.0,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,1991,1991,TONNE,Tonnes,3,Thousands,,,983.0,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,1992,1992,TONNE,Tonnes,3,Thousands,,,1018.0,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,1993,1993,TONNE,Tonnes,3,Thousands,,,954.0,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,1994,1994,TONNE,Tonnes,3,Thousands,,,964.0,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,1995,1995,TONNE,Tonnes,3,Thousands,,,935.412,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,1996,1996,TONNE,Tonnes,3,Thousands,,,841.643,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,1997,1997,TONNE,Tonnes,3,Thousands,,,821.53,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,1998,1998,TONNE,Tonnes,3,Thousands,,,726.921,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,1999,1999,TONNE,Tonnes,3,Thousands,,,132.933,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,2000,2000,TONNE,Tonnes,3,Thousands,,,146.513,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,2001,2001,TONNE,Tonnes,3,Thousands,,,163.992,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,2002,2002,TONNE,Tonnes,3,Thousands,,,194.513,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,2003,2003,TONNE,Tonnes,3,Thousands,,,170.012,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,2004,2004,TONNE,Tonnes,3,Thousands,,,120.24,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,2005,2005,TONNE,Tonnes,3,Thousands,,,115.826,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,2006,2006,TONNE,Tonnes,3,Thousands,,,22.32,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,2007,2007,TONNE,Tonnes,3,Thousands,,,49.187,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,2008,2008,TONNE,Tonnes,3,Thousands,,,103.433,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,2009,2009,TONNE,Tonnes,3,Thousands,,,98.882,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,2010,2010,TONNE,Tonnes,3,Thousands,,,90.466,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,2011,2011,TONNE,Tonnes,3,Thousands,,,140.962,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,2012,2012,TONNE,Tonnes,3,Thousands,,,137.797,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,2013,2013,TONNE,Tonnes,3,Thousands,,,100.023,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,2014,2014,TONNE,Tonnes,3,Thousands,,,38.668,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,2015,2015,TONNE,Tonnes,3,Thousands,,,35.967,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,2016,2016,TONNE,Tonnes,3,Thousands,,,47.876,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,2017,2017,TONNE,Tonnes,3,Thousands,,,37.921,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,2018,2018,TONNE,Tonnes,3,Thousands,,,38.556,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,2019,2019,TONNE,Tonnes,3,Thousands,,,25.313,,
BEL,Belgium,INCINERATION_WITHOUT,Incineration without energy recovery,2020,2020,TONNE,Tonnes,3,Thousands,,,0.852,,
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,1998,1998,TONNE,Tonnes,3,Thousands,,,4.0,,
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,1999,1999,TONNE,Tonnes,3,Thousands,,,3.0,,
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,2000,2000,TONNE,Tonnes,3,Thousands,,,3.0,,
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,2001,2001,TONNE,Tonnes,3,Thousands,,,3.0,,
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,2002,2002,TONNE,Tonnes,3,Thousands,,,3.0,,
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,2003,2003,TONNE,Tonnes,3,Thousands,,,2.0,,
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,2004,2004,TONNE,Tonnes,3,Thousands,,,1.0,B,Break
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,2005,2005,TONNE,Tonnes,3,Thousands,,,1.0,E,Estimated value
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,2006,2006,TONNE,Tonnes,3,Thousands,,,1.61,E,Estimated value
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,2007,2007,TONNE,Tonnes,3,Thousands,,,1.65,E,Estimated value
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,2008,2008,TONNE,Tonnes,3,Thousands,,,1.72,E,Estimated value
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,2009,2009,TONNE,Tonnes,3,Thousands,,,2.12,E,Estimated value
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,2010,2010,TONNE,Tonnes,3,Thousands,,,2.15,E,Estimated value
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,2011,2011,TONNE,Tonnes,3,Thousands,,,2.62,E,Estimated value
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,2012,2012,TONNE,Tonnes,3,Thousands,,,2.83,E,Estimated value
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,2013,2013,TONNE,Tonnes,3,Thousands,,,2.7,E,Estimated value
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,2014,2014,TONNE,Tonnes,3,Thousands,,,4.008,E,Estimated value
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,2015,2015,TONNE,Tonnes,3,Thousands,,,4.012,E,Estimated value
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,2016,2016,TONNE,Tonnes,3,Thousands,,,3.865,E,Estimated value
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,2017,2017,TONNE,Tonnes,3,Thousands,,,4.039,B,Break
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,2018,2018,TONNE,Tonnes,3,Thousands,,,4.611,,
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,2019,2019,TONNE,Tonnes,3,Thousands,,,4.386,,
CZE,Czech Republic,INCINERATION_WITHOUT,Incineration without energy recovery,2020,2020,TONNE,Tonnes,3,Thousands,,,5.03,E,Estimated value
DNK,Denmark,INCINERATION_WITHOUT,Incineration without energy recovery,1993,1993,TONNE,Tonnes,3,Thousands,,,0.0,,
DNK,Denmark,INCINERATION_WITHOUT,Incineration without energy recovery,1994,1994,TONNE,Tonnes,3,Thousands,,,0.0,,
DNK,Denmark,INCINERATION_WITHOUT,Incineration without energy recovery,1995,1995,TONNE,Tonnes,3,Thousands,,,0.0,,
DNK,Denmark,INCINERATION_WITHOUT,Incineration without energy recovery,1996,1996,TONNE,Tonnes,3,Thousands,,,0.0,,
DNK,Denmark,INCINERATION_WITHOUT,Incineration without energy recovery,1997,1997,TONNE,Tonnes,3,Thousands,,,0.0,,
DNK,Denmark,INCINERATION_WITHOUT,Incineration without energy recovery,1998,1998,TONNE,Tonnes,3,Thousands,,,0.0,,
DNK,Denmark,INCINERATION_WITHOUT,Incineration without energy recovery,1999,1999,TONNE,Tonnes,3,Thousands,,,0.0,,
DNK,Denmark,INCINERATION_WITHOUT,Incineration without energy recovery,2000,2000,TONNE,Tonnes,3,Thousands,,,0.0,,
DNK,Denmark,INCINERATION_WITHOUT,Incineration without energy recovery,2001,2001,TONNE,Tonnes,3,Thousands,,,0.0,,
DNK,Denmark,INCINERATION_WITHOUT,Incineration without energy recovery,2002,2002,TONNE,Tonnes,3,Thousands,,,0.0,,
DNK,Denmark,INCINERATION_WITHOUT,Incineration without energy recovery,2003,2003,TONNE,Tonnes,3,Thousands,,,0.0,,
DNK,Denmark,INCINERATION_WITHOUT,Incineration without energy recovery,2004,2004,TONNE,Tonnes,3,Thousands,,,0.0,,
DNK,Denmark,INCINERATION_WITHOUT,Incineration without energy recovery,2005,2005,TONNE,Tonnes,3,Thousands,,,0.0,,
DNK,Denmark,INCINERATION_WITHOUT,Incineration without energy recovery,2006,2006,TONNE,Tonnes,3,Thousands,,,0.0,,
DNK,Denmark,INCINERATION_WITHOUT,Incineration without energy recovery,2007,2007,TONNE,Tonnes,3,Thousands,,,0.0,,
