COU,Country,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUT,Austria,INC_SHARE,% Incineration,1990,1990,PC,Percentage,0,Units,,,8.881,,
AUT,Austria,INC_SHARE,% Incineration,1991,1991,PC,Percentage,0,Units,,,12.31,,
AUT,Austria,INC_SHARE,% Incineration,1992,1992,PC,Percentage,0,Units,,,14.134,,
AUT,Austria,INC_SHARE,% Incineration,1993,1993,PC,Percentage,0,Units,,,14.187,,
AUT,Austria,INC_SHARE,% Incineration,1994,1994,PC,Percentage,0,Units,,,13.821,,
AUT,Austria,INC_SHARE,% Incineration,1995,1995,PC,Percentage,0,Units,,,11.239,,
AUT,Austria,INC_SHARE,% Incineration,1996,1996,PC,Percentage,0,Units,,,9.612,,
AUT,Austria,INC_SHARE,% Incineration,1997,1997,PC,Percentage,0,Units,,,9.525,,
AUT,Austria,INC_SHARE,% Incineration,1998,1998,PC,Percentage,0,Units,,,9.41,,
AUT,Austria,INC_SHARE,% Incineration,1999,1999,PC,Percentage,0,Units,,,9.335,,
AUT,Austria,INC_SHARE,% Incineration,2000,2000,PC,Percentage,0,Units,,,10.298,,
AUT,Austria,INC_SHARE,% Incineration,2001,2001,PC,Percentage,0,Units,,,10.268,,
AUT,Austria,INC_SHARE,% Incineration,2002,2002,PC,Percentage,0,Units,,,10.299,,
AUT,Austria,INC_SHARE,% Incineration,2003,2003,PC,Percentage,0,Units,,,11.214,,
AUT,Austria,INC_SHARE,% Incineration,2004,2004,PC,Percentage,0,Units,,,29.838,,
AUT,Austria,INC_SHARE,% Incineration,2005,2005,PC,Percentage,0,Units,,,28.466,,
AUT,Austria,INC_SHARE,% Incineration,2006,2006,PC,Percentage,0,Units,,,29.571,,
AUT,Austria,INC_SHARE,% Incineration,2007,2007,PC,Percentage,0,Units,,,29.903,,
AUT,Austria,INC_SHARE,% Incineration,2008,2008,PC,Percentage,0,Units,,,27.758,,
AUT,Austria,INC_SHARE,% Incineration,2009,2009,PC,Percentage,0,Units,,,30.086,,
AUT,Austria,INC_SHARE,% Incineration,2010,2010,PC,Percentage,0,Units,,,35.712,,
AUT,Austria,INC_SHARE,% Incineration,2011,2011,PC,Percentage,0,Units,,,36.233,,
AUT,Austria,INC_SHARE,% Incineration,2012,2012,PC,Percentage,0,Units,,,35.88,,
