COU,Country,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,1995,1995,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,1996,1996,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,1997,1997,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,1998,1998,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,1999,1999,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,2000,2000,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,2001,2001,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,2002,2002,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,2003,2003,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,2004,2004,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,2005,2005,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,2006,2006,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,2007,2007,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,2008,2008,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,2009,2009,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,2010,2010,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,2011,2011,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,2012,2012,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,2013,2013,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,2014,2014,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,2015,2015,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,2016,2016,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,2017,2017,PC,Percentage,0,Units,,,0.0,,
AUT,Austria,INC_WITHOUT_SHARE,% Incineration without energy recovery,2018,2018,PC,Percentage,0,Units,,,0.0,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,1990,1990,PC,Percentage,0,Units,,,22.898,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,1991,1991,PC,Percentage,0,Units,,,23.935,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,1992,1992,PC,Percentage,0,Units,,,24.021,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,1993,1993,PC,Percentage,0,Units,,,21.496,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,1994,1994,PC,Percentage,0,Units,,,20.957,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,1995,1995,PC,Percentage,0,Units,,,20.677,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,1996,1996,PC,Percentage,0,Units,,,19.034,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,1997,1997,PC,Percentage,0,Units,,,17.746,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,1998,1998,PC,Percentage,0,Units,,,15.778,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,1999,1999,PC,Percentage,0,Units,,,2.884,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,2000,2000,PC,Percentage,0,Units,,,2.954,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,2001,2001,PC,Percentage,0,Units,,,3.467,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,2002,2002,PC,Percentage,0,Units,,,3.969,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,2003,2003,PC,Percentage,0,Units,,,3.473,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,2004,2004,PC,Percentage,0,Units,,,2.359,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,2005,2005,PC,Percentage,0,Units,,,2.194,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,2006,2006,PC,Percentage,0,Units,,,0.434,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,2007,2007,PC,Percentage,0,Units,,,0.902,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,2008,2008,PC,Percentage,0,Units,,,2.086,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,2009,2009,PC,Percentage,0,Units,,,2.04,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,2010,2010,PC,Percentage,0,Units,,,1.881,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,2011,2011,PC,Percentage,0,Units,,,2.91,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,2012,2012,PC,Percentage,0,Units,,,2.878,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,2013,2013,PC,Percentage,0,Units,,,2.079,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,2014,2014,PC,Percentage,0,Units,,,0.813,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,2015,2015,PC,Percentage,0,Units,,,0.775,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,2016,2016,PC,Percentage,0,Units,,,1.008,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,2017,2017,PC,Percentage,0,Units,,,0.819,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,2018,2018,PC,Percentage,0,Units,,,0.824,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,2019,2019,PC,Percentage,0,Units,,,0.53,,
BEL,Belgium,INC_WITHOUT_SHARE,% Incineration without energy recovery,2020,2020,PC,Percentage,0,Units,,,0.018,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,1998,1998,PC,Percentage,0,Units,,,0.133,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,1999,1999,PC,Percentage,0,Units,,,0.094,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,2000,2000,PC,Percentage,0,Units,,,0.092,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,2001,2001,PC,Percentage,0,Units,,,0.116,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,2002,2002,PC,Percentage,0,Units,,,0.119,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,2003,2003,PC,Percentage,0,Units,,,0.081,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,2004,2004,PC,Percentage,0,Units,,,0.042,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,2005,2005,PC,Percentage,0,Units,,,0.04,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,2006,2006,PC,Percentage,0,Units,,,0.061,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,2007,2007,PC,Percentage,0,Units,,,0.059,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,2008,2008,PC,Percentage,0,Units,,,0.062,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,2009,2009,PC,Percentage,0,Units,,,0.073,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,2010,2010,PC,Percentage,0,Units,,,0.067,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,2011,2011,PC,Percentage,0,Units,,,0.078,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,2012,2012,PC,Percentage,0,Units,,,0.088,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,2013,2013,PC,Percentage,0,Units,,,0.084,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,2014,2014,PC,Percentage,0,Units,,,0.123,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,2015,2015,PC,Percentage,0,Units,,,0.12,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,2016,2016,PC,Percentage,0,Units,,,0.108,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,2017,2017,PC,Percentage,0,Units,,,0.082,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,2018,2018,PC,Percentage,0,Units,,,0.092,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,2019,2019,PC,Percentage,0,Units,,,0.085,,
CZE,Czech Republic,INC_WITHOUT_SHARE,% Incineration without energy recovery,2020,2020,PC,Percentage,0,Units,,,0.095,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,1993,1993,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,1994,1994,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,1995,1995,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,1996,1996,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,1997,1997,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,1998,1998,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,1999,1999,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,2000,2000,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,2001,2001,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,2002,2002,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,2003,2003,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,2004,2004,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,2005,2005,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,2006,2006,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,2007,2007,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,2008,2008,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,2009,2009,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,2010,2010,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,2011,2011,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,2012,2012,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,2013,2013,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,2014,2014,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,2015,2015,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,2016,2016,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,2017,2017,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,2018,2018,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,2019,2019,PC,Percentage,0,Units,,,0.0,,
DNK,Denmark,INC_WITHOUT_SHARE,% Incineration without energy recovery,2020,2020,PC,Percentage,0,Units,,,0.0,,
FIN,Finland,INC_WITHOUT_SHARE,% Incineration without energy recovery,2001,2001,PC,Percentage,0,Units,,,0.04,,
FIN,Finland,INC_WITHOUT_SHARE,% Incineration without energy recovery,2002,2002,PC,Percentage,0,Units,,,2.082,,
FIN,Finland,INC_WITHOUT_SHARE,% Incineration without energy recovery,2003,2003,PC,Percentage,0,Units,,,2.155,,
FIN,Finland,INC_WITHOUT_SHARE,% Incineration without energy recovery,2004,2004,PC,Percentage,0,Units,,,2.033,,
FIN,Finland,INC_WITHOUT_SHARE,% Incineration without energy recovery,2005,2005,PC,Percentage,0,Units,,,1.984,,
FIN,Finland,INC_WITHOUT_SHARE,% Incineration without energy recovery,2006,2006,PC,Percentage,0,Units,,,2.074,,
FIN,Finland,INC_WITHOUT_SHARE,% Incineration without energy recovery,2007,2007,PC,Percentage,0,Units,,,2.783,,
FIN,Finland,INC_WITHOUT_SHARE,% Incineration without energy recovery,2008,2008,PC,Percentage,0,Units,,,4.62,,
FIN,Finland,INC_WITHOUT_SHARE,% Incineration without energy recovery,2009,2009,PC,Percentage,0,Units,,,4.456,,
FIN,Finland,INC_WITHOUT_SHARE,% Incineration without energy recovery,2010,2010,PC,Percentage,0,Units,,,4.565,,
FIN,Finland,INC_WITHOUT_SHARE,% Incineration without energy recovery,2011,2011,PC,Percentage,0,Units,,,0.0,,
FIN,Finland,INC_WITHOUT_SHARE,% Incineration without energy recovery,2012,2012,PC,Percentage,0,Units,,,0.0,,
FIN,Finland,INC_WITHOUT_SHARE,% Incineration without energy recovery,2013,2013,PC,Percentage,0,Units,,,0.0,,
FIN,Finland,INC_WITHOUT_SHARE,% Incineration without energy recovery,2014,2014,PC,Percentage,0,Units,,,0.0,,
FIN,Finland,INC_WITHOUT_SHARE,% Incineration without energy recovery,2015,2015,PC,Percentage,0,Units,,,0.0,,
FIN,Finland,INC_WITHOUT_SHARE,% Incineration without energy recovery,2016,2016,PC,Percentage,0,Units,,,0.0,,
FIN,Finland,INC_WITHOUT_SHARE,% Incineration without energy recovery,2017,2017,PC,Percentage,0,Units,,,0.0,,
FIN,Finland,INC_WITHOUT_SHARE,% Incineration without energy recovery,2018,2018,PC,Percentage,0,Units,,,0.032,,
FIN,Finland,INC_WITHOUT_SHARE,% Incineration without energy recovery,2019,2019,PC,Percentage,0,Units,,,0.022,,
FIN,Finland,INC_WITHOUT_SHARE,% Incineration without energy recovery,2020,2020,PC,Percentage,0,Units,,,0.076,,
FRA,France,INC_WITHOUT_SHARE,% Incineration without energy recovery,1993,1993,PC,Percentage,0,Units,,,10.937,,
FRA,France,INC_WITHOUT_SHARE,% Incineration without energy recovery,1995,1995,PC,Percentage,0,Units,,,9.967,,
FRA,France,INC_WITHOUT_SHARE,% Incineration without energy recovery,1996,1996,PC,Percentage,0,Units,,,9.019,,
FRA,France,INC_WITHOUT_SHARE,% Incineration without energy recovery,1997,1997,PC,Percentage,0,Units,,,8.232,,
FRA,France,INC_WITHOUT_SHARE,% Incineration without energy recovery,1998,1998,PC,Percentage,0,Units,,,6.595,,
FRA,France,INC_WITHOUT_SHARE,% Incineration without energy recovery,1999,1999,PC,Percentage,0,Units,,,4.877,,
FRA,France,INC_WITHOUT_SHARE,% Incineration without energy recovery,2000,2000,PC,Percentage,0,Units,,,4.579,,
FRA,France,INC_WITHOUT_SHARE,% Incineration without energy recovery,2001,2001,PC,Percentage,0,Units,,,3.581,,
FRA,France,INC_WITHOUT_SHARE,% Incineration without energy recovery,2002,2002,PC,Percentage,0,Units,,,2.677,,
FRA,France,INC_WITHOUT_SHARE,% Incineration without energy recovery,2003,2003,PC,Percentage,0,Units,,,2.162,,
FRA,France,INC_WITHOUT_SHARE,% Incineration without energy recovery,2004,2004,PC,Percentage,0,Units,,,1.936,,
FRA,France,INC_WITHOUT_SHARE,% Incineration without energy recovery,2005,2005,PC,Percentage,0,Units,,,1.433,,
