COU,Country,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,INC_WITH_SHARE,% Incineration with energy recovery,2007,2007,PC,Percentage,0,Units,,,1.158,,
AUS,Australia,INC_WITH_SHARE,% Incineration with energy recovery,2008,2008,PC,Percentage,0,Units,,,1.147,,
AUS,Australia,INC_WITH_SHARE,% Incineration with energy recovery,2009,2009,PC,Percentage,0,Units,,,1.111,,
AUS,Australia,INC_WITH_SHARE,% Incineration with energy recovery,2010,2010,PC,Percentage,0,Units,,,1.094,,
AUS,Australia,INC_WITH_SHARE,% Incineration with energy recovery,2011,2011,PC,Percentage,0,Units,,,1.107,,
AUS,Australia,INC_WITH_SHARE,% Incineration with energy recovery,2012,2012,PC,Percentage,0,Units,,,1.001,,
AUS,Australia,INC_WITH_SHARE,% Incineration with energy recovery,2013,2013,PC,Percentage,0,Units,,,0.883,,
AUS,Australia,INC_WITH_SHARE,% Incineration with energy recovery,2014,2014,PC,Percentage,0,Units,,,0.764,,
AUS,Australia,INC_WITH_SHARE,% Incineration with energy recovery,2015,2015,PC,Percentage,0,Units,,,0.898,,
AUS,Australia,INC_WITH_SHARE,% Incineration with energy recovery,2016,2016,PC,Percentage,0,Units,,,1.05,,
AUS,Australia,INC_WITH_SHARE,% Incineration with energy recovery,2017,2017,PC,Percentage,0,Units,,,0.333,,
AUS,Australia,INC_WITH_SHARE,% Incineration with energy recovery,2018,2018,PC,Percentage,0,Units,,,0.282,,
AUS,Australia,INC_WITH_SHARE,% Incineration with energy recovery,2019,2019,PC,Percentage,0,Units,,,0.562,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,1990,1990,PC,Percentage,0,Units,,,8.881,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,1991,1991,PC,Percentage,0,Units,,,12.31,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,1992,1992,PC,Percentage,0,Units,,,14.134,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,1993,1993,PC,Percentage,0,Units,,,14.187,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,1994,1994,PC,Percentage,0,Units,,,13.821,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,1995,1995,PC,Percentage,0,Units,,,11.239,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,1996,1996,PC,Percentage,0,Units,,,9.612,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,1997,1997,PC,Percentage,0,Units,,,9.525,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,1998,1998,PC,Percentage,0,Units,,,9.41,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,1999,1999,PC,Percentage,0,Units,,,9.335,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,2000,2000,PC,Percentage,0,Units,,,10.298,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,2001,2001,PC,Percentage,0,Units,,,10.268,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,2002,2002,PC,Percentage,0,Units,,,10.299,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,2003,2003,PC,Percentage,0,Units,,,11.214,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,2004,2004,PC,Percentage,0,Units,,,29.838,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,2005,2005,PC,Percentage,0,Units,,,28.466,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,2006,2006,PC,Percentage,0,Units,,,29.571,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,2007,2007,PC,Percentage,0,Units,,,29.903,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,2008,2008,PC,Percentage,0,Units,,,27.758,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,2009,2009,PC,Percentage,0,Units,,,30.086,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,2010,2010,PC,Percentage,0,Units,,,35.712,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,2011,2011,PC,Percentage,0,Units,,,36.233,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,2012,2012,PC,Percentage,0,Units,,,35.88,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,2013,2013,PC,Percentage,0,Units,,,36.165,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,2014,2014,PC,Percentage,0,Units,,,37.572,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,2015,2015,PC,Percentage,0,Units,,,38.764,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,2016,2016,PC,Percentage,0,Units,,,38.452,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,2017,2017,PC,Percentage,0,Units,,,39.314,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,2018,2018,PC,Percentage,0,Units,,,39.208,,
AUT,Austria,INC_WITH_SHARE,% Incineration with energy recovery,2019,2019,PC,Percentage,0,Units,,,38.911,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,1990,1990,PC,Percentage,0,Units,,,22.141,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,1991,1991,PC,Percentage,0,Units,,,18.408,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,1992,1992,PC,Percentage,0,Units,,,17.791,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,1993,1993,PC,Percentage,0,Units,,,16.607,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,1994,1994,PC,Percentage,0,Units,,,15.717,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,1995,1995,PC,Percentage,0,Units,,,15.5,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,1996,1996,PC,Percentage,0,Units,,,16.092,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,1997,1997,PC,Percentage,0,Units,,,20.723,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,1998,1998,PC,Percentage,0,Units,,,20.085,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,1999,1999,PC,Percentage,0,Units,,,29.789,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,2000,2000,PC,Percentage,0,Units,,,29.761,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,2001,2001,PC,Percentage,0,Units,,,29.283,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,2002,2002,PC,Percentage,0,Units,,,31.932,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,2003,2003,PC,Percentage,0,Units,,,33.414,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,2004,2004,PC,Percentage,0,Units,,,32.918,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,2005,2005,PC,Percentage,0,Units,,,33.527,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,2006,2006,PC,Percentage,0,Units,,,34.216,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,2007,2007,PC,Percentage,0,Units,,,35.366,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,2008,2008,PC,Percentage,0,Units,,,37.678,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,2009,2009,PC,Percentage,0,Units,,,37.204,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,2010,2010,PC,Percentage,0,Units,,,38.449,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,2011,2011,PC,Percentage,0,Units,,,38.47,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,2012,2012,PC,Percentage,0,Units,,,39.877,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,2013,2013,PC,Percentage,0,Units,,,42.21,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,2014,2014,PC,Percentage,0,Units,,,42.887,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,2015,2015,PC,Percentage,0,Units,,,43.371,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,2016,2016,PC,Percentage,0,Units,,,43.46,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,2017,2017,PC,Percentage,0,Units,,,42.402,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,2018,2018,PC,Percentage,0,Units,,,42.402,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,2019,2019,PC,Percentage,0,Units,,,42.301,,
BEL,Belgium,INC_WITH_SHARE,% Incineration with energy recovery,2020,2020,PC,Percentage,0,Units,,,42.915,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,1998,1998,PC,Percentage,0,Units,,,5.873,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,1999,1999,PC,Percentage,0,Units,,,9.51,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,2000,2000,PC,Percentage,0,Units,,,9.754,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,2001,2001,PC,Percentage,0,Units,,,13.71,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,2002,2002,PC,Percentage,0,Units,,,15.775,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,2003,2003,PC,Percentage,0,Units,,,16.121,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,2004,2004,PC,Percentage,0,Units,,,16.82,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,2005,2005,PC,Percentage,0,Units,,,15.23,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,2006,2006,PC,Percentage,0,Units,,,14.689,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,2007,2007,PC,Percentage,0,Units,,,13.796,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,2008,2008,PC,Percentage,0,Units,,,13.33,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,2009,2009,PC,Percentage,0,Units,,,12.781,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,2010,2010,PC,Percentage,0,Units,,,15.533,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,2011,2011,PC,Percentage,0,Units,,,18.146,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,2012,2012,PC,Percentage,0,Units,,,20.156,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,2013,2013,PC,Percentage,0,Units,,,19.466,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,2014,2014,PC,Percentage,0,Units,,,18.406,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,2015,2015,PC,Percentage,0,Units,,,17.552,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,2016,2016,PC,Percentage,0,Units,,,16.319,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,2017,2017,PC,Percentage,0,Units,,,18.207,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,2018,2018,PC,Percentage,0,Units,,,17.394,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,2019,2019,PC,Percentage,0,Units,,,16.87,,
CZE,Czech Republic,INC_WITH_SHARE,% Incineration with energy recovery,2020,2020,PC,Percentage,0,Units,,,15.247,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,1993,1993,PC,Percentage,0,Units,,,63.105,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,1994,1994,PC,Percentage,0,Units,,,55.262,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,1995,1995,PC,Percentage,0,Units,,,56.294,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,1996,1996,PC,Percentage,0,Units,,,49.677,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,1997,1997,PC,Percentage,0,Units,,,53.544,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,1998,1998,PC,Percentage,0,Units,,,52.658,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,1999,1999,PC,Percentage,0,Units,,,50.225,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,2000,2000,PC,Percentage,0,Units,,,52.905,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,2001,2001,PC,Percentage,0,Units,,,56.777,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,2002,2002,PC,Percentage,0,Units,,,56.278,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,2003,2003,PC,Percentage,0,Units,,,54.035,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,2004,2004,PC,Percentage,0,Units,,,54.458,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,2005,2005,PC,Percentage,0,Units,,,53.784,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,2006,2006,PC,Percentage,0,Units,,,53.171,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,2007,2007,PC,Percentage,0,Units,,,51.078,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,2008,2008,PC,Percentage,0,Units,,,48.224,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,2009,2009,PC,Percentage,0,Units,,,48.146,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,2010,2010,PC,Percentage,0,Units,,,48.146,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,2011,2011,PC,Percentage,0,Units,,,55.028,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,2012,2012,PC,Percentage,0,Units,,,55.358,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,2013,2013,PC,Percentage,0,Units,,,55.008,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,2014,2014,PC,Percentage,0,Units,,,53.17,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,2015,2015,PC,Percentage,0,Units,,,51.295,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,2016,2016,PC,Percentage,0,Units,,,50.494,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,2017,2017,PC,Percentage,0,Units,,,51.375,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,2018,2018,PC,Percentage,0,Units,,,48.823,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,2019,2019,PC,Percentage,0,Units,,,47.547,,
DNK,Denmark,INC_WITH_SHARE,% Incineration with energy recovery,2020,2020,PC,Percentage,0,Units,,,45.196,,
FIN,Finland,INC_WITH_SHARE,% Incineration with energy recovery,1994,1994,PC,Percentage,0,Units,,,2.155,,
FIN,Finland,INC_WITH_SHARE,% Incineration with energy recovery,1997,1997,PC,Percentage,0,Units,,,4.85,,
FIN,Finland,INC_WITH_SHARE,% Incineration with energy recovery,1998,1998,PC,Percentage,0,Units,,,5.804,,
FIN,Finland,INC_WITH_SHARE,% Incineration with energy recovery,1999,1999,PC,Percentage,0,Units,,,7.896,,
FIN,Finland,INC_WITH_SHARE,% Incineration with energy recovery,2000,2000,PC,Percentage,0,Units,,,9.913,,
FIN,Finland,INC_WITH_SHARE,% Incineration with energy recovery,2001,2001,PC,Percentage,0,Units,,,8.565,,
FIN,Finland,INC_WITH_SHARE,% Incineration with energy recovery,2002,2002,PC,Percentage,0,Units,,,6.561,,
FIN,Finland,INC_WITH_SHARE,% Incineration with energy recovery,2003,2003,PC,Percentage,0,Units,,,8.027,,
FIN,Finland,INC_WITH_SHARE,% Incineration with energy recovery,2004,2004,PC,Percentage,0,Units,,,9.217,,
FIN,Finland,INC_WITH_SHARE,% Incineration with energy recovery,2005,2005,PC,Percentage,0,Units,,,6.924,,
FIN,Finland,INC_WITH_SHARE,% Incineration with energy recovery,2006,2006,PC,Percentage,0,Units,,,6.477,,
FIN,Finland,INC_WITH_SHARE,% Incineration with energy recovery,2007,2007,PC,Percentage,0,Units,,,8.819,,
FIN,Finland,INC_WITH_SHARE,% Incineration with energy recovery,2008,2008,PC,Percentage,0,Units,,,12.249,,
