COU,Country,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,LANDFILL,Landfill,2003,2003,TONNE,Tonnes,3,Thousands,,,6202.0,,
AUS,Australia,LANDFILL,Landfill,2007,2007,TONNE,Tonnes,3,Thousands,,,7029.523,,
AUS,Australia,LANDFILL,Landfill,2008,2008,TONNE,Tonnes,3,Thousands,,,7034.209,E,Estimated value
AUS,Australia,LANDFILL,Landfill,2009,2009,TONNE,Tonnes,3,Thousands,,,7038.894,,
AUS,Australia,LANDFILL,Landfill,2010,2010,TONNE,Tonnes,3,Thousands,,,7062.359,,
AUS,Australia,LANDFILL,Landfill,2011,2011,TONNE,Tonnes,3,Thousands,,,6633.821,,
AUS,Australia,LANDFILL,Landfill,2012,2012,TONNE,Tonnes,3,Thousands,,,6514.551,E,Estimated value
AUS,Australia,LANDFILL,Landfill,2013,2013,TONNE,Tonnes,3,Thousands,,,6395.281,E,Estimated value
AUS,Australia,LANDFILL,Landfill,2014,2014,TONNE,Tonnes,3,Thousands,,,6276.011,,
AUS,Australia,LANDFILL,Landfill,2015,2015,TONNE,Tonnes,3,Thousands,,,6282.512,,
AUS,Australia,LANDFILL,Landfill,2016,2016,TONNE,Tonnes,3,Thousands,,,6122.921,,
AUS,Australia,LANDFILL,Landfill,2017,2017,TONNE,Tonnes,3,Thousands,,,6431.76,,
AUS,Australia,LANDFILL,Landfill,2018,2018,TONNE,Tonnes,3,Thousands,,,6322.639,,
AUS,Australia,LANDFILL,Landfill,2019,2019,TONNE,Tonnes,3,Thousands,,,6317.092,,
AUT,Austria,LANDFILL,Landfill,1990,1990,TONNE,Tonnes,3,Thousands,,,1977.0,,
AUT,Austria,LANDFILL,Landfill,1991,1991,TONNE,Tonnes,3,Thousands,,,1596.0,,
AUT,Austria,LANDFILL,Landfill,1992,1992,TONNE,Tonnes,3,Thousands,,,1495.0,,
