COU,Country,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,LANDF_SHARE,% Landfill,2003,2003,PC,Percentage,0,Units,,,69.662,,
AUS,Australia,LANDF_SHARE,% Landfill,2007,2007,PC,Percentage,0,Units,,,58.583,,
AUS,Australia,LANDF_SHARE,% Landfill,2008,2008,PC,Percentage,0,Units,,,58.056,,
AUS,Australia,LANDF_SHARE,% Landfill,2009,2009,PC,Percentage,0,Units,,,56.262,,
AUS,Australia,LANDF_SHARE,% Landfill,2010,2010,PC,Percentage,0,Units,,,55.593,,
AUS,Australia,LANDF_SHARE,% Landfill,2011,2011,PC,Percentage,0,Units,,,52.839,,
AUS,Australia,LANDF_SHARE,% Landfill,2012,2012,PC,Percentage,0,Units,,,52.223,,
AUS,Australia,LANDF_SHARE,% Landfill,2013,2013,PC,Percentage,0,Units,,,51.028,,
AUS,Australia,LANDF_SHARE,% Landfill,2014,2014,PC,Percentage,0,Units,,,49.709,,
AUS,Australia,LANDF_SHARE,% Landfill,2015,2015,PC,Percentage,0,Units,,,49.322,,
AUS,Australia,LANDF_SHARE,% Landfill,2016,2016,PC,Percentage,0,Units,,,52.159,,
AUS,Australia,LANDF_SHARE,% Landfill,2017,2017,PC,Percentage,0,Units,,,56.622,,
AUS,Australia,LANDF_SHARE,% Landfill,2018,2018,PC,Percentage,0,Units,,,55.451,,
AUS,Australia,LANDF_SHARE,% Landfill,2019,2019,PC,Percentage,0,Units,,,55.032,,
AUT,Austria,LANDF_SHARE,% Landfill,1990,1990,PC,Percentage,0,Units,,,56.277,,
AUT,Austria,LANDF_SHARE,% Landfill,1991,1991,PC,Percentage,0,Units,,,57.617,,
AUT,Austria,LANDF_SHARE,% Landfill,1992,1992,PC,Percentage,0,Units,,,52.958,,
AUT,Austria,LANDF_SHARE,% Landfill,1993,1993,PC,Percentage,0,Units,,,47.474,,
AUT,Austria,LANDF_SHARE,% Landfill,1994,1994,PC,Percentage,0,Units,,,42.08,,
AUT,Austria,LANDF_SHARE,% Landfill,1995,1995,PC,Percentage,0,Units,,,42.399,,
AUT,Austria,LANDF_SHARE,% Landfill,1996,1996,PC,Percentage,0,Units,,,32.917,,
AUT,Austria,LANDF_SHARE,% Landfill,1997,1997,PC,Percentage,0,Units,,,32.235,,
AUT,Austria,LANDF_SHARE,% Landfill,1998,1998,PC,Percentage,0,Units,,,31.715,,
AUT,Austria,LANDF_SHARE,% Landfill,1999,1999,PC,Percentage,0,Units,,,31.791,,
AUT,Austria,LANDF_SHARE,% Landfill,2000,2000,PC,Percentage,0,Units,,,31.012,,
AUT,Austria,LANDF_SHARE,% Landfill,2001,2001,PC,Percentage,0,Units,,,30.39,,
AUT,Austria,LANDF_SHARE,% Landfill,2002,2002,PC,Percentage,0,Units,,,29.382,,
AUT,Austria,LANDF_SHARE,% Landfill,2003,2003,PC,Percentage,0,Units,,,28.092,,
AUT,Austria,LANDF_SHARE,% Landfill,2004,2004,PC,Percentage,0,Units,,,12.043,,
