COU,Country,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,RECYCLING,Recycling,2003,2003,TONNE,Tonnes,3,Thousands,,,2701.0,,
AUS,Australia,RECYCLING,Recycling,2007,2007,TONNE,Tonnes,3,Thousands,,,4004.599,,
AUS,Australia,RECYCLING,Recycling,2008,2008,TONNE,Tonnes,3,Thousands,,,4019.5,E,Estimated value
AUS,Australia,RECYCLING,Recycling,2009,2009,TONNE,Tonnes,3,Thousands,,,4312.511,,
AUS,Australia,RECYCLING,Recycling,2010,2010,TONNE,Tonnes,3,Thousands,,,4381.199,,
AUS,Australia,RECYCLING,Recycling,2011,2011,TONNE,Tonnes,3,Thousands,,,4532.209,,
AUS,Australia,RECYCLING,Recycling,2012,2012,TONNE,Tonnes,3,Thousands,,,4313.667,E,Estimated value
AUS,Australia,RECYCLING,Recycling,2013,2013,TONNE,Tonnes,3,Thousands,,,4234.333,E,Estimated value
AUS,Australia,RECYCLING,Recycling,2014,2014,TONNE,Tonnes,3,Thousands,,,4188.907,,
AUS,Australia,RECYCLING,Recycling,2015,2015,TONNE,Tonnes,3,Thousands,,,4143.517,,
AUS,Australia,RECYCLING,Recycling,2016,2016,TONNE,Tonnes,3,Thousands,,,3502.336,,
AUS,Australia,RECYCLING,Recycling,2017,2017,TONNE,Tonnes,3,Thousands,,,3094.73,,
AUS,Australia,RECYCLING,Recycling,2018,2018,TONNE,Tonnes,3,Thousands,,,2830.496,,
AUS,Australia,RECYCLING,Recycling,2019,2019,TONNE,Tonnes,3,Thousands,,,2820.775,,
AUT,Austria,RECYCLING,Recycling,1990,1990,TONNE,Tonnes,3,Thousands,,,399.0,,
AUT,Austria,RECYCLING,Recycling,1991,1991,TONNE,Tonnes,3,Thousands,,,511.0,,
AUT,Austria,RECYCLING,Recycling,1992,1992,TONNE,Tonnes,3,Thousands,,,581.0,,
AUT,Austria,RECYCLING,Recycling,1993,1993,TONNE,Tonnes,3,Thousands,,,640.0,,
AUT,Austria,RECYCLING,Recycling,1994,1994,TONNE,Tonnes,3,Thousands,,,785.0,,
AUT,Austria,RECYCLING,Recycling,1995,1995,TONNE,Tonnes,3,Thousands,,,820.0,,
AUT,Austria,RECYCLING,Recycling,1996,1996,TONNE,Tonnes,3,Thousands,,,879.0,,
AUT,Austria,RECYCLING,Recycling,1997,1997,TONNE,Tonnes,3,Thousands,,,941.0,,
AUT,Austria,RECYCLING,Recycling,1998,1998,TONNE,Tonnes,3,Thousands,,,987.0,,
AUT,Austria,RECYCLING,Recycling,1999,1999,TONNE,Tonnes,3,Thousands,,,1061.0,,
AUT,Austria,RECYCLING,Recycling,2000,2000,TONNE,Tonnes,3,Thousands,,,1129.0,,
AUT,Austria,RECYCLING,Recycling,2001,2001,TONNE,Tonnes,3,Thousands,,,1125.0,E,Estimated value
AUT,Austria,RECYCLING,Recycling,2002,2002,TONNE,Tonnes,3,Thousands,,,1115.0,E,Estimated value
AUT,Austria,RECYCLING,Recycling,2003,2003,TONNE,Tonnes,3,Thousands,,,1110.0,E,Estimated value
AUT,Austria,RECYCLING,Recycling,2004,2004,TONNE,Tonnes,3,Thousands,,,1116.0,,
AUT,Austria,RECYCLING,Recycling,2005,2005,TONNE,Tonnes,3,Thousands,,,1179.7,,
AUT,Austria,RECYCLING,Recycling,2006,2006,TONNE,Tonnes,3,Thousands,,,1258.5,,
AUT,Austria,RECYCLING,Recycling,2007,2007,TONNE,Tonnes,3,Thousands,,,1318.0,,
AUT,Austria,RECYCLING,Recycling,2008,2008,TONNE,Tonnes,3,Thousands,,,1476.0,,
AUT,Austria,RECYCLING,Recycling,2009,2009,TONNE,Tonnes,3,Thousands,,,1491.9,,
AUT,Austria,RECYCLING,Recycling,2010,2010,TONNE,Tonnes,3,Thousands,,,1272.2,,
AUT,Austria,RECYCLING,Recycling,2011,2011,TONNE,Tonnes,3,Thousands,,,1145.6,,
AUT,Austria,RECYCLING,Recycling,2012,2012,TONNE,Tonnes,3,Thousands,,,1168.0,,
AUT,Austria,RECYCLING,Recycling,2013,2013,TONNE,Tonnes,3,Thousands,,,1202.4,,
AUT,Austria,RECYCLING,Recycling,2014,2014,TONNE,Tonnes,3,Thousands,,,1231.0,,
AUT,Austria,RECYCLING,Recycling,2015,2015,TONNE,Tonnes,3,Thousands,,,1240.5,,
AUT,Austria,RECYCLING,Recycling,2016,2016,TONNE,Tonnes,3,Thousands,,,1253.8,,
AUT,Austria,RECYCLING,Recycling,2017,2017,TONNE,Tonnes,3,Thousands,,,1296.4,,
AUT,Austria,RECYCLING,Recycling,2018,2018,TONNE,Tonnes,3,Thousands,,,1301.1,,
AUT,Austria,RECYCLING,Recycling,2019,2019,TONNE,Tonnes,3,Thousands,,,1363.2,E,Estimated value
BEL,Belgium,RECYCLING,Recycling,1990,1990,TONNE,Tonnes,3,Thousands,,,203.0,,
BEL,Belgium,RECYCLING,Recycling,1991,1991,TONNE,Tonnes,3,Thousands,,,218.0,,
BEL,Belgium,RECYCLING,Recycling,1992,1992,TONNE,Tonnes,3,Thousands,,,260.0,,
BEL,Belgium,RECYCLING,Recycling,1993,1993,TONNE,Tonnes,3,Thousands,,,324.0,,
BEL,Belgium,RECYCLING,Recycling,1994,1994,TONNE,Tonnes,3,Thousands,,,431.0,,
BEL,Belgium,RECYCLING,Recycling,1995,1995,TONNE,Tonnes,3,Thousands,,,519.403,,
BEL,Belgium,RECYCLING,Recycling,1996,1996,TONNE,Tonnes,3,Thousands,,,655.465,,
BEL,Belgium,RECYCLING,Recycling,1997,1997,TONNE,Tonnes,3,Thousands,,,840.223,,
BEL,Belgium,RECYCLING,Recycling,1998,1998,TONNE,Tonnes,3,Thousands,,,1076.885,,
BEL,Belgium,RECYCLING,Recycling,1999,1999,TONNE,Tonnes,3,Thousands,,,1217.706,,
BEL,Belgium,RECYCLING,Recycling,2000,2000,TONNE,Tonnes,3,Thousands,,,1309.427,,
BEL,Belgium,RECYCLING,Recycling,2001,2001,TONNE,Tonnes,3,Thousands,,,1391.465,,
BEL,Belgium,RECYCLING,Recycling,2002,2002,TONNE,Tonnes,3,Thousands,,,1468.513,,
BEL,Belgium,RECYCLING,Recycling,2003,2003,TONNE,Tonnes,3,Thousands,,,1430.224,,
BEL,Belgium,RECYCLING,Recycling,2004,2004,TONNE,Tonnes,3,Thousands,,,1500.164,,
BEL,Belgium,RECYCLING,Recycling,2005,2005,TONNE,Tonnes,3,Thousands,,,1637.693,,
BEL,Belgium,RECYCLING,Recycling,2006,2006,TONNE,Tonnes,3,Thousands,,,1682.599,,
BEL,Belgium,RECYCLING,Recycling,2007,2007,TONNE,Tonnes,3,Thousands,,,1741.409,,
BEL,Belgium,RECYCLING,Recycling,2008,2008,TONNE,Tonnes,3,Thousands,,,1659.912,,
BEL,Belgium,RECYCLING,Recycling,2009,2009,TONNE,Tonnes,3,Thousands,,,1693.612,,
BEL,Belgium,RECYCLING,Recycling,2010,2010,TONNE,Tonnes,3,Thousands,,,1669.128,,
BEL,Belgium,RECYCLING,Recycling,2011,2011,TONNE,Tonnes,3,Thousands,,,1703.649,,
BEL,Belgium,RECYCLING,Recycling,2012,2012,TONNE,Tonnes,3,Thousands,,,1599.821,,
BEL,Belgium,RECYCLING,Recycling,2013,2013,TONNE,Tonnes,3,Thousands,,,1539.341,,
BEL,Belgium,RECYCLING,Recycling,2014,2014,TONNE,Tonnes,3,Thousands,,,1590.345,,
BEL,Belgium,RECYCLING,Recycling,2015,2015,TONNE,Tonnes,3,Thousands,,,1583.819,,
BEL,Belgium,RECYCLING,Recycling,2016,2016,TONNE,Tonnes,3,Thousands,,,1574.736,,
BEL,Belgium,RECYCLING,Recycling,2017,2017,TONNE,Tonnes,3,Thousands,,,1593.411,,
BEL,Belgium,RECYCLING,Recycling,2018,2018,TONNE,Tonnes,3,Thousands,,,1610.656,,
BEL,Belgium,RECYCLING,Recycling,2019,2019,TONNE,Tonnes,3,Thousands,,,1630.557,,
