COU,Country,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,RECYCLING_SHARE,% Recycling,2003,2003,PC,Percentage,0,Units,,,30.338,,
AUS,Australia,RECYCLING_SHARE,% Recycling,2007,2007,PC,Percentage,0,Units,,,33.373,,
AUS,Australia,RECYCLING_SHARE,% Recycling,2008,2008,PC,Percentage,0,Units,,,33.175,,
AUS,Australia,RECYCLING_SHARE,% Recycling,2009,2009,PC,Percentage,0,Units,,,34.47,,
AUS,Australia,RECYCLING_SHARE,% Recycling,2010,2010,PC,Percentage,0,Units,,,34.488,,
AUS,Australia,RECYCLING_SHARE,% Recycling,2011,2011,PC,Percentage,0,Units,,,36.1,,
AUS,Australia,RECYCLING_SHARE,% Recycling,2012,2012,PC,Percentage,0,Units,,,34.58,,
AUS,Australia,RECYCLING_SHARE,% Recycling,2013,2013,PC,Percentage,0,Units,,,33.786,,
AUS,Australia,RECYCLING_SHARE,% Recycling,2014,2014,PC,Percentage,0,Units,,,33.178,,
AUS,Australia,RECYCLING_SHARE,% Recycling,2015,2015,PC,Percentage,0,Units,,,32.529,,
AUS,Australia,RECYCLING_SHARE,% Recycling,2016,2016,PC,Percentage,0,Units,,,29.835,,
AUS,Australia,RECYCLING_SHARE,% Recycling,2017,2017,PC,Percentage,0,Units,,,27.244,,
AUS,Australia,RECYCLING_SHARE,% Recycling,2018,2018,PC,Percentage,0,Units,,,24.824,,
AUS,Australia,RECYCLING_SHARE,% Recycling,2019,2019,PC,Percentage,0,Units,,,24.573,,
AUT,Austria,RECYCLING_SHARE,% Recycling,1990,1990,PC,Percentage,0,Units,,,11.358,,
AUT,Austria,RECYCLING_SHARE,% Recycling,1991,1991,PC,Percentage,0,Units,,,18.448,,
AUT,Austria,RECYCLING_SHARE,% Recycling,1992,1992,PC,Percentage,0,Units,,,20.581,,
AUT,Austria,RECYCLING_SHARE,% Recycling,1993,1993,PC,Percentage,0,Units,,,22.145,,
AUT,Austria,RECYCLING_SHARE,% Recycling,1994,1994,PC,Percentage,0,Units,,,26.856,,
AUT,Austria,RECYCLING_SHARE,% Recycling,1995,1995,PC,Percentage,0,Units,,,21.382,,
AUT,Austria,RECYCLING_SHARE,% Recycling,1996,1996,PC,Percentage,0,Units,,,19.603,,
AUT,Austria,RECYCLING_SHARE,% Recycling,1997,1997,PC,Percentage,0,Units,,,20.141,,
AUT,Austria,RECYCLING_SHARE,% Recycling,1998,1998,PC,Percentage,0,Units,,,21.108,,
AUT,Austria,RECYCLING_SHARE,% Recycling,1999,1999,PC,Percentage,0,Units,,,21.72,,
AUT,Austria,RECYCLING_SHARE,% Recycling,2000,2000,PC,Percentage,0,Units,,,22.273,,
AUT,Austria,RECYCLING_SHARE,% Recycling,2001,2001,PC,Percentage,0,Units,,,22.172,,
AUT,Austria,RECYCLING_SHARE,% Recycling,2002,2002,PC,Percentage,0,Units,,,21.667,,
AUT,Austria,RECYCLING_SHARE,% Recycling,2003,2003,PC,Percentage,0,Units,,,21.027,,
AUT,Austria,RECYCLING_SHARE,% Recycling,2004,2004,PC,Percentage,0,Units,,,24.13,,
AUT,Austria,RECYCLING_SHARE,% Recycling,2005,2005,PC,Percentage,0,Units,,,25.638,,
AUT,Austria,RECYCLING_SHARE,% Recycling,2006,2006,PC,Percentage,0,Units,,,26.033,,
