COU,Country,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
POL,Poland,WEEE,Electric and electronic equipment waste,2014,2014,TONNE,Tonnes,3,Thousands,,,26.0,E; B,Estimated value; Break
POL,Poland,WEEE,Electric and electronic equipment waste,2015,2015,TONNE,Tonnes,3,Thousands,,,29.0,E,Estimated value
POL,Poland,WEEE,Electric and electronic equipment waste,2016,2016,TONNE,Tonnes,3,Thousands,,,30.0,E,Estimated value
POL,Poland,WEEE,Electric and electronic equipment waste,2017,2017,TONNE,Tonnes,3,Thousands,,,19.0,E,Estimated value
POL,Poland,WEEE,Electric and electronic equipment waste,2018,2018,TONNE,Tonnes,3,Thousands,,,37.0,,
LUX,Luxembourg,WEEE,Electric and electronic equipment waste,2003,2003,TONNE,Tonnes,3,Thousands,,,0.0,,
LUX,Luxembourg,WEEE,Electric and electronic equipment waste,2004,2004,TONNE,Tonnes,3,Thousands,,,0.0,,
LUX,Luxembourg,WEEE,Electric and electronic equipment waste,2005,2005,TONNE,Tonnes,3,Thousands,,,0.0,,
LUX,Luxembourg,WEEE,Electric and electronic equipment waste,2006,2006,TONNE,Tonnes,3,Thousands,,,0.0,,
LUX,Luxembourg,WEEE,Electric and electronic equipment waste,2007,2007,TONNE,Tonnes,3,Thousands,,,0.0,,
LUX,Luxembourg,WEEE,Electric and electronic equipment waste,2008,2008,TONNE,Tonnes,3,Thousands,,,0.0,,
LUX,Luxembourg,WEEE,Electric and electronic equipment waste,2009,2009,TONNE,Tonnes,3,Thousands,,,0.0,,
LUX,Luxembourg,WEEE,Electric and electronic equipment waste,2010,2010,TONNE,Tonnes,3,Thousands,,,0.0,,
LUX,Luxembourg,WEEE,Electric and electronic equipment waste,2011,2011,TONNE,Tonnes,3,Thousands,,,0.0,,
LUX,Luxembourg,WEEE,Electric and electronic equipment waste,2012,2012,TONNE,Tonnes,3,Thousands,,,0.0,,
LUX,Luxembourg,WEEE,Electric and electronic equipment waste,2013,2013,TONNE,Tonnes,3,Thousands,,,0.0,,
LUX,Luxembourg,WEEE,Electric and electronic equipment waste,2014,2014,TONNE,Tonnes,3,Thousands,,,0.0,,
LUX,Luxembourg,WEEE,Electric and electronic equipment waste,2015,2015,TONNE,Tonnes,3,Thousands,,,0.0,,
LUX,Luxembourg,WEEE,Electric and electronic equipment waste,2016,2016,TONNE,Tonnes,3,Thousands,,,0.0,,
LUX,Luxembourg,WEEE,Electric and electronic equipment waste,2017,2017,TONNE,Tonnes,3,Thousands,,,0.0,,
LUX,Luxembourg,WEEE,Electric and electronic equipment waste,2018,2018,TONNE,Tonnes,3,Thousands,,,0.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,1995,1995,TONNE,Tonnes,3,Thousands,,,22.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,1996,1996,TONNE,Tonnes,3,Thousands,,,22.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,1997,1997,TONNE,Tonnes,3,Thousands,,,26.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,1998,1998,TONNE,Tonnes,3,Thousands,,,40.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,1999,1999,TONNE,Tonnes,3,Thousands,,,48.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,2000,2000,TONNE,Tonnes,3,Thousands,,,58.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,2001,2001,TONNE,Tonnes,3,Thousands,,,73.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,2002,2002,TONNE,Tonnes,3,Thousands,,,77.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,2003,2003,TONNE,Tonnes,3,Thousands,,,90.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,2004,2004,TONNE,Tonnes,3,Thousands,,,91.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,2005,2005,TONNE,Tonnes,3,Thousands,,,91.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,2006,2006,TONNE,Tonnes,3,Thousands,,,90.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,2007,2007,TONNE,Tonnes,3,Thousands,,,94.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,2008,2008,TONNE,Tonnes,3,Thousands,,,101.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,2009,2009,TONNE,Tonnes,3,Thousands,,,102.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,2010,2010,TONNE,Tonnes,3,Thousands,,,104.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,2011,2011,TONNE,Tonnes,3,Thousands,,,106.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,2012,2012,TONNE,Tonnes,3,Thousands,,,101.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,2013,2013,TONNE,Tonnes,3,Thousands,,,95.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,2014,2014,TONNE,Tonnes,3,Thousands,,,95.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,2015,2015,TONNE,Tonnes,3,Thousands,,,96.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,2016,2016,TONNE,Tonnes,3,Thousands,,,97.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,2017,2017,TONNE,Tonnes,3,Thousands,,,97.0,,
NLD,Netherlands,WEEE,Electric and electronic equipment waste,2018,2018,TONNE,Tonnes,3,Thousands,,,101.0,,
USA,United States,WEEE,Electric and electronic equipment waste,1990,1990,TONNE,Tonnes,3,Thousands,,,3420.0,,
USA,United States,WEEE,Electric and electronic equipment waste,2000,2000,TONNE,Tonnes,3,Thousands,,,5969.0,,
USA,United States,WEEE,Electric and electronic equipment waste,2005,2005,TONNE,Tonnes,3,Thousands,,,6731.0,,
USA,United States,WEEE,Electric and electronic equipment waste,2010,2010,TONNE,Tonnes,3,Thousands,,,8137.0,,
USA,United States,WEEE,Electric and electronic equipment waste,2012,2012,TONNE,Tonnes,3,Thousands,,,8573.0,,
USA,United States,WEEE,Electric and electronic equipment waste,2013,2013,TONNE,Tonnes,3,Thousands,,,8872.0,,
USA,United States,WEEE,Electric and electronic equipment waste,2014,2014,TONNE,Tonnes,3,Thousands,,,9045.0,,
DNK,Denmark,WEEE,Electric and electronic equipment waste,2011,2011,TONNE,Tonnes,3,Thousands,,,52.0,B,Break
DNK,Denmark,WEEE,Electric and electronic equipment waste,2012,2012,TONNE,Tonnes,3,Thousands,,,44.0,,
DNK,Denmark,WEEE,Electric and electronic equipment waste,2013,2013,TONNE,Tonnes,3,Thousands,,,54.0,,
DNK,Denmark,WEEE,Electric and electronic equipment waste,2014,2014,TONNE,Tonnes,3,Thousands,,,29.0,,
DNK,Denmark,WEEE,Electric and electronic equipment waste,2015,2015,TONNE,Tonnes,3,Thousands,,,32.0,,
DNK,Denmark,WEEE,Electric and electronic equipment waste,2016,2016,TONNE,Tonnes,3,Thousands,,,58.0,,
DNK,Denmark,WEEE,Electric and electronic equipment waste,2017,2017,TONNE,Tonnes,3,Thousands,,,40.0,,
DNK,Denmark,WEEE,Electric and electronic equipment waste,2018,2018,TONNE,Tonnes,3,Thousands,,,69.0,,
FIN,Finland,WEEE,Electric and electronic equipment waste,2006,2006,TONNE,Tonnes,3,Thousands,,,40.11,,
FIN,Finland,WEEE,Electric and electronic equipment waste,2007,2007,TONNE,Tonnes,3,Thousands,,,47.69,,
FIN,Finland,WEEE,Electric and electronic equipment waste,2008,2008,TONNE,Tonnes,3,Thousands,,,54.48,,
FIN,Finland,WEEE,Electric and electronic equipment waste,2009,2009,TONNE,Tonnes,3,Thousands,,,46.15,,
FIN,Finland,WEEE,Electric and electronic equipment waste,2010,2010,TONNE,Tonnes,3,Thousands,,,49.75,,
FIN,Finland,WEEE,Electric and electronic equipment waste,2011,2011,TONNE,Tonnes,3,Thousands,,,51.72,,
FIN,Finland,WEEE,Electric and electronic equipment waste,2012,2012,TONNE,Tonnes,3,Thousands,,,65.76,,
FIN,Finland,WEEE,Electric and electronic equipment waste,2013,2013,TONNE,Tonnes,3,Thousands,,,39.22,,
FIN,Finland,WEEE,Electric and electronic equipment waste,2014,2014,TONNE,Tonnes,3,Thousands,,,59.37,,
FIN,Finland,WEEE,Electric and electronic equipment waste,2015,2015,TONNE,Tonnes,3,Thousands,,,63.603,,
FIN,Finland,WEEE,Electric and electronic equipment waste,2016,2016,TONNE,Tonnes,3,Thousands,,,56.96,,
FIN,Finland,WEEE,Electric and electronic equipment waste,2017,2017,TONNE,Tonnes,3,Thousands,,,54.05,,
FIN,Finland,WEEE,Electric and electronic equipment waste,2018,2018,TONNE,Tonnes,3,Thousands,,,57.48,,
FRA,France,WEEE,Electric and electronic equipment waste,2005,2005,TONNE,Tonnes,3,Thousands,,,92.0,,
FRA,France,WEEE,Electric and electronic equipment waste,2006,2006,TONNE,Tonnes,3,Thousands,,,139.0,E,Estimated value
FRA,France,WEEE,Electric and electronic equipment waste,2007,2007,TONNE,Tonnes,3,Thousands,,,186.0,,
FRA,France,WEEE,Electric and electronic equipment waste,2008,2008,TONNE,Tonnes,3,Thousands,,,251.0,E,Estimated value
FRA,France,WEEE,Electric and electronic equipment waste,2009,2009,TONNE,Tonnes,3,Thousands,,,316.0,,
FRA,France,WEEE,Electric and electronic equipment waste,2010,2010,TONNE,Tonnes,3,Thousands,,,350.0,E,Estimated value
FRA,France,WEEE,Electric and electronic equipment waste,2011,2011,TONNE,Tonnes,3,Thousands,,,384.0,,
