Entity,-10000,-9000,-8000,-7000,-6000,-5000,-4000,-3000,-2000,-1000,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1710,1720,1730,1740,1750,1760,1770,1780,1790,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,0.023,0.031,0.043,0.06,0.083,0.115,0.469,0.823,1.178,1.532,3.063,3.446,3.829,3.829,3.829,3.829,3.829,3.714,3.6,3.523,3.446,3.638,3.829,2.681,2.872,3.063,3.829,3.829,3.924,4.013,4.104,4.197,4.293,4.39,4.49,4.592,4.696,5.024,5.024,5.024,5.024,5.024,5.024,5.024,5.024,5.024,5.024,5.024,5.024,5.024,5.024,5.024,5.024,5.024,5.024,5.024,5.029,5.038,5.051,5.069,5.092,5.115,5.138,5.161,5.184,5.207,5.23,5.253,5.277,5.301,5.324,5.348,5.372,5.396,5.42,5.444,5.469,5.493,5.518,5.543,5.567,5.592,5.617,5.642,5.668,5.693,5.72,5.749,5.774,5.802,5.831,5.86,5.889,5.919,5.948,5.978,6.008,6.038,6.068,6.098,6.129,6.159,6.19,6.221,6.252,6.283,6.314,6.346,6.377,6.409,6.441,6.473,6.506,6.538,6.571,6.604,6.637,6.67,6.703,6.736,6.77,6.804,6.838,6.872,6.906,6.94,6.975,7.01,7.045,7.08,7.115,7.15,7.186,7.222,7.258,7.294,7.342,7.402,7.474,7.559,7.657,7.756,7.856,7.957,8.06,8.164,8.375,8.702,9.156,9.747,10.486,11.281,12.137,13.058,14.048,15.126,15.836,16.173,16.132,15.704,14.88,14.099,13.359,12.658,11.994,11.365,10.875,10.518,10.286,10.174,10.174,10.174,10.174,10.174,10.174,10.174,10.205,10.268,10.363,10.49,10.651,10.815,10.98,11.149,11.32,11.493,11.678,11.458,11.597,11.745,11.893,12.046,12.211,12.388,12.576,12.765,12.971,13.207,13.464,13.738,14.027,14.33,14.651,14.985,15.333,15.697,16.075,16.471,16.873,17.288,17.73,18.181,18.622,19.032,19.433,19.819,19.892,19.126,17.087,15.452,15.243,15.69,16.102,16.004,15.812,15.905,16.348,16.381,16.459,18.469,21.45,23.674,25.149,26.203,27.248,28.326,29.505,29.934,30.158,32.167,34.686,36.077,37.391,38.972,39.677,40.479,41.947,43.179,44.802,46.666,48.312,50.112,51.701,53.053,54.596,56.194,57.852,59.695,61.421,62.998,64.7,66.435,68.186,69.95,71.727,73.509,75.296,77.093,78.894,80.699,82.509,84.316,86.124,87.936,89.759,91.586,93.413,95.243,97.074,98.907,100.74,102.572,104.404,106.234,108.057,109.869,111.671,113.463,115.242,117.008,118.758,120.491,122.213,123.916,125.599,127.262,128.898,130.511,132.097,133.65,135.172,136.673,138.146,139.588,141.01,142.409,143.77,145.09,146.375,147.633,148.864,150.064,151.23,152.366,153.473,154.546,155.59,156.606,157.585,158.534,159.453,160.336,161.18,161.984,162.753,163.488,164.191,164.861,165.49,166.085,166.653,167.192,167.704,168.187,168.634,169.051,169.441,169.799
Africa,0.008,0.011,0.016,0.023,0.033,0.049,0.076,0.135,0.205,0.304,0.5,0.547,0.599,0.632,0.674,0.725,0.793,0.914,1.067,1.202,1.34,1.426,1.529,1.711,1.841,1.967,2.302,2.526,2.503,2.519,2.536,2.555,2.576,2.598,2.623,2.649,2.678,2.744,2.746,2.749,2.753,2.757,2.76,2.764,2.768,2.772,2.776,2.782,2.784,2.788,2.794,2.799,2.805,2.811,2.818,2.825,2.835,2.851,2.864,2.883,2.906,2.93,2.954,2.979,3.005,3.031,3.058,3.09,3.115,3.145,3.174,3.205,3.235,3.267,3.299,3.331,3.365,3.403,3.435,3.473,3.511,3.551,3.591,3.631,3.673,3.715,3.753,3.792,3.811,3.829,3.843,3.857,3.871,3.886,3.9,3.915,3.93,3.951,3.962,3.978,3.995,4.012,4.029,4.046,4.064,4.081,4.099,4.124,4.137,4.157,4.177,4.197,4.218,4.239,4.26,4.281,4.303,4.331,4.347,4.371,4.394,4.418,4.443,4.467,4.491,4.516,4.538,4.563,4.574,4.587,4.598,4.609,4.62,4.632,4.643,4.655,4.668,4.688,4.697,4.713,4.73,4.748,4.766,4.784,4.803,4.823,4.842,4.868,4.882,4.902,4.922,4.943,4.963,4.984,5.006,5.026,5.055,5.099,5.14,5.195,5.259,5.325,5.391,5.458,5.527,5.596,5.666,5.745,5.811,5.884,5.959,6.035,6.112,6.191,6.27,6.351,6.437,6.536,6.625,6.727,6.836,6.946,7.058,7.173,7.289,7.408,7.539,7.684,7.85,8.023,8.2,8.383,8.572,8.767,8.966,9.165,9.375,9.6,9.832,10.074,10.325,10.585,10.854,11.132,11.419,11.717,12.024,12.34,12.666,12.998,13.345,13.712,14.1,14.506,14.915,15.346,15.802,16.26,16.737,17.24,17.739,18.241,18.763,19.303,19.858,20.413,20.975,21.549,22.119,22.689,23.27,23.856,24.459,25.081,25.705,26.335,26.983,27.654,28.346,29.061,29.795,30.552,31.333,32.138,32.973,33.834,34.72,35.632,36.559,37.509,38.501,39.518,40.558,41.605,42.659,43.738,44.833,45.946,47.061,48.177,49.317,50.482,51.665,52.86,54.068,55.289,56.521,57.765,59.018,60.282,61.557,62.841,64.134,65.434,66.739,68.052,69.368,70.689,72.013,73.339,74.665,75.993,77.319,78.644,79.968,81.288,82.605,83.916,85.221,86.519,87.811,89.095,90.371,91.638,92.898,94.147,95.384,96.611,97.829,99.037,100.234,101.419,102.592,103.75,104.897,106.03,107.148,108.251,109.337,110.408,111.464,112.501,113.521,114.521,115.502,116.464,117.408,118.334,119.242,120.131,120.999,121.848,122.676,123.483,124.268,125.032,125.775,126.494,127.193,127.87,128.526,129.161,129.775,130.366,130.936,131.483,132.011,132.517
Albania,0.044,0.073,0.122,0.203,0.338,0.563,0.938,1.564,2.607,4.345,7.241,7.248,7.256,7.263,7.27,7.277,7.285,7.292,7.299,7.299,7.299,7.299,7.299,7.299,7.299,7.299,7.299,10.949,11.366,11.782,12.199,12.616,13.032,13.449,13.866,14.282,14.699,14.599,14.663,14.728,14.794,14.859,14.925,14.991,15.058,15.124,15.191,15.259,15.327,15.395,15.463,15.531,15.6,15.669,15.739,15.809,15.879,15.95,16.021,16.093,16.165,16.238,16.311,16.385,16.458,16.532,16.607,16.682,16.757,16.832,16.908,16.984,17.06,17.137,17.214,17.291,17.369,17.447,17.526,17.605,17.684,17.764,17.844,17.924,18.004,18.085,18.185,18.303,18.444,18.605,18.786,18.968,19.152,19.338,19.525,19.715,19.906,20.099,20.294,20.49,20.689,20.89,21.092,21.297,21.503,21.712,21.922,22.134,22.347,22.562,22.779,22.998,23.219,23.442,23.668,23.895,24.125,24.357,24.591,24.827,25.066,25.306,25.55,25.795,26.043,26.293,26.548,26.808,27.073,27.342,27.617,27.894,28.174,28.457,28.742,29.031,29.317,29.601,29.883,30.162,30.438,30.717,30.999,31.283,31.57,31.86,32.136,32.399,32.648,32.884,33.105,33.327,33.552,33.777,34.005,34.224,34.436,34.641,34.839,35.03,35.214,35.398,35.584,35.77,35.958,36.146,36.372,36.637,36.941,37.285,37.669,38.058,38.45,38.846,39.246,39.65,40.074,40.516,40.978,41.459,41.961,42.469,42.984,43.504,44.031,44.564,45.252,45.715,47.05,48.429,49.881,51.424,53.056,54.767,56.554,58.43,60.402,62.452,64.565,66.724,68.916,71.132,73.35,75.573,77.827,80.127,82.474,84.844,87.22,89.605,91.987,94.36,96.72,99.035,101.27,103.406,105.429,107.359,109.211,110.992,112.697,114.297,115.756,117.049,118.163,119.088,119.788,120.258,120.514,120.574,120.464,120.219,119.868,119.392,118.749,117.963,117.09,116.132,115.095,113.998,112.883,111.775,110.68,109.613,108.616,107.726,106.954,106.329,105.864,105.554,105.366,105.259,105.2,105.148,105.086,105.001,104.886,104.63,104.186,103.734,103.374,103.139,102.979,102.799,102.595,102.364,102.102,101.81,101.487,101.13,100.739,100.314,99.857,99.367,98.844,98.289,97.704,97.09,96.448,95.779,95.085,94.368,93.629,92.868,92.089,91.293,90.48,89.652,88.812,87.96,87.097,86.227,85.353,84.476,83.594,82.709,81.824,80.937,80.048,79.159,78.267,77.372,76.473,75.565,74.651,73.728,72.795,71.85,70.891,69.917,68.929,67.927,66.911,65.88,64.834,63.773,62.698,61.61,60.509,59.398,58.279,57.153,56.025,54.896,53.768,52.643,51.524,50.413,49.31,48.219,47.142,46.082,45.035,44.007,42.993,41.995,41.011,40.042
Algeria,0.005,0.008,0.014,0.024,0.039,0.065,0.109,0.181,0.302,0.504,0.84,0.823,0.806,0.79,0.774,0.759,0.743,0.728,0.714,0.777,0.84,0.819,0.798,0.707,0.617,0.63,0.945,0.735,0.768,0.8,0.833,0.866,0.899,0.932,0.965,0.998,1.03,1.05,1.053,1.057,1.061,1.065,1.069,1.073,1.077,1.081,1.085,1.089,1.093,1.097,1.101,1.105,1.109,1.113,1.117,1.121,1.124,1.128,1.131,1.133,1.135,1.137,1.139,1.141,1.143,1.145,1.147,1.15,1.152,1.154,1.156,1.158,1.16,1.162,1.164,1.166,1.168,1.17,1.173,1.175,1.177,1.179,1.181,1.183,1.185,1.187,1.192,1.198,1.206,1.216,1.228,1.24,1.252,1.265,1.278,1.29,1.303,1.316,1.329,1.343,1.356,1.369,1.383,1.397,1.411,1.425,1.439,1.453,1.468,1.483,1.497,1.512,1.527,1.543,1.558,1.574,1.589,1.605,1.621,1.637,1.654,1.67,1.687,1.704,1.72,1.738,1.755,1.772,1.789,1.807,1.824,1.842,1.859,1.877,1.895,1.914,1.934,1.958,1.985,2.014,2.047,2.08,2.114,2.148,2.182,2.218,2.248,2.274,2.296,2.312,2.323,2.335,2.346,2.358,2.37,2.382,2.396,2.414,2.435,2.46,2.487,2.514,2.542,2.57,2.599,2.628,2.66,2.697,2.738,2.782,2.832,2.882,2.933,2.985,3.037,3.091,3.144,3.196,3.248,3.298,3.348,3.398,3.449,3.501,3.553,3.607,3.664,3.787,3.893,3.998,4.103,4.203,4.3,4.397,4.494,4.591,4.688,4.784,4.87,4.945,5.026,5.114,5.198,5.296,5.415,5.538,5.664,5.792,5.924,6.063,6.208,6.362,6.602,6.928,7.194,7.403,7.628,7.868,8.125,8.397,8.684,8.982,9.293,9.607,9.903,10.179,10.45,10.714,10.973,11.231,11.485,11.73,11.957,12.17,12.376,12.564,12.741,12.921,13.1,13.278,13.459,13.65,13.837,14.038,14.268,14.514,14.777,15.055,15.343,15.644,15.955,16.274,16.603,16.937,17.272,17.604,17.93,18.244,18.549,18.853,19.148,19.431,19.701,19.959,20.208,20.447,20.679,20.904,21.124,21.34,21.554,21.768,21.981,22.194,22.409,22.624,22.84,23.058,23.277,23.498,23.718,23.937,24.156,24.373,24.587,24.795,24.997,25.192,25.38,25.56,25.731,25.893,26.046,26.191,26.327,26.455,26.573,26.684,26.787,26.884,26.975,27.06,27.142,27.22,27.294,27.365,27.435,27.502,27.567,27.631,27.693,27.753,27.813,27.872,27.929,27.984,28.039,28.091,28.141,28.188,28.232,28.275,28.315,28.351,28.384,28.415,28.442,28.465,28.484,28.5,28.512,28.519,28.522,28.52,28.513,28.502,28.486,28.464
American Samoa,,,,,,,,,,,0.005,0.01,0.02,0.03,0.045,0.065,0.1,0.155,0.23,0.35,0.525,0.785,1.18,1.775,2.665,3.995,5.995,8.995,9.47,9.965,10.49,11.045,11.625,12.235,12.88,13.56,14.27,15.025,,,,,,,,,,15.815,,,,,,,,,,16.695,,,,,,,,,,17.62,,,,,,,,,,18.6,,,,,,,,,,19.635,,,,,,,,,,20.725,,,,,,,,,,23.315,,,,,,,,,,26.23,,,,,,,,,,29.51,,,,,,,,,,33.195,,,,,,,,,,37.345,,,,,,,,,,44.815,,,,,,,,,,53.78,,,,,,,,,,64.54,,,,,,,,,,95.285,97.235,97.935,98.475,98.915,99.275,99.61,99.825,99.71,99.52,100.535,103.265,106.45,109.845,113.41,117.07,120.735,124.32,128.155,132.085,135.49,138.09,140.415,142.765,145.2,147.98,151.11,154.19,157.245,160.355,164.54,170.4,176.94,183.775,190.965,198.44,206.2,214.295,222.82,231.55,239.205,245.08,250.48,255.975,261.555,267.105,272.615,277.975,283.13,288.085,291.255,291.71,291.0,289.81,288.265,286.385,284.285,282.01,279.545,276.93,274.355,271.67,268.59,265.085,261.17,256.955,252.34,247.43,242.225,236.705,231.08,225.28,221.475,219.69,217.84,215.92,213.965,212.03,210.005,207.92,205.8,203.69,201.535,199.3,197.125,194.91,192.82,190.745,188.615,186.585,184.615,182.68,180.79,179.0,177.305,175.615,174.045,172.535,171.02,169.47,167.91,166.345,164.765,163.155,161.55,159.93,158.25,156.58,154.865,153.09,151.32,149.57,147.755,145.94,144.065,142.15,140.265,138.345,136.37,134.37,132.355,130.295,128.265,126.135,124.015,121.925,119.745,117.56,115.38,113.18,110.96,108.765,106.51,104.31,102.025,99.77,97.545,95.29,93.045,90.735,88.42,86.12,83.755,81.36,78.94,76.48,73.99,71.44,68.845,66.21,63.52
Andorra,0.053,0.072,0.096,0.13,0.172,0.234,0.326,0.468,0.723,1.266,2.594,2.647,2.7,2.755,2.811,2.868,2.928,2.987,3.049,3.111,3.174,3.238,3.304,3.372,3.44,3.511,3.583,3.655,3.849,4.051,4.264,4.489,4.726,4.974,5.236,5.513,5.802,5.647,5.647,5.647,5.647,5.647,5.647,5.647,5.647,5.647,5.647,5.647,5.647,5.647,5.647,5.647,5.647,5.647,5.647,5.647,5.655,5.67,5.696,5.728,5.768,5.809,5.849,5.891,5.932,5.974,6.017,6.06,6.102,6.145,6.187,6.232,6.277,6.319,6.364,6.411,6.455,6.5,6.547,6.594,6.638,6.685,6.734,6.781,6.83,6.877,6.926,6.974,7.023,7.072,7.121,7.17,7.219,7.27,7.319,7.37,7.421,7.472,7.526,7.577,7.63,7.683,7.736,7.789,7.843,7.898,7.953,8.006,8.062,8.119,8.174,8.232,8.289,8.347,8.404,8.462,8.521,8.579,8.638,8.698,8.76,8.819,8.881,8.943,9.004,9.066,9.13,9.194,9.257,9.321,9.385,9.451,9.515,9.581,9.649,9.715,9.783,9.849,9.919,9.987,10.055,10.126,10.196,10.266,10.338,10.409,10.504,10.626,10.772,10.947,11.147,11.349,11.557,11.768,11.983,12.202,12.336,12.379,12.336,12.202,11.983,11.766,11.553,11.345,11.14,10.938,10.802,10.728,10.717,10.77,10.883,11.0,11.117,11.234,11.353,11.474,11.596,11.719,11.845,11.97,12.096,12.226,12.355,12.485,12.619,12.753,12.94,12.826,12.443,11.649,11.351,11.894,13.062,14.319,15.645,17.064,18.56,20.155,21.783,23.483,25.245,27.06,28.904,30.998,33.549,36.389,39.3,42.309,45.417,48.628,51.943,55.372,58.86,62.37,65.896,69.355,72.696,75.828,78.74,82.164,86.077,89.791,93.264,97.074,101.402,105.702,109.917,114.021,117.989,121.926,125.909,129.909,133.923,136.523,137.664,138.732,139.734,140.672,144.343,150.783,157.296,163.723,169.883,170.726,166.355,161.857,157.189,152.217,150.185,151.138,151.883,152.434,152.694,154.389,157.134,159.647,162.47,165.368,168.206,169.879,170.434,170.964,171.479,171.945,172.366,172.779,173.162,173.494,173.804,174.074,174.319,174.536,174.711,174.834,174.911,174.966,174.987,174.947,174.862,174.73,174.526,174.264,173.949,173.564,173.119,172.579,171.991,171.315,170.574,169.779,168.909,167.998,167.021,166.017,164.953,163.855,162.753,161.626,160.462,159.319,158.166,157.015,155.879,154.728,153.609,152.472,151.362,150.268,149.202,148.17,147.145,146.155,145.213,144.266,143.345,142.485,141.611,140.766,139.966,139.168,138.413,137.672,136.934,136.238,135.547,134.87,134.209,133.591,132.974,132.368,131.787,131.226,130.687,130.149,129.647,129.149,128.674,128.221
Angola,0.0,0.001,0.001,0.001,0.002,0.004,0.007,0.011,0.018,0.03,0.05,0.067,0.09,0.119,0.159,0.212,0.283,0.377,0.503,0.654,0.805,0.94,1.074,1.208,1.409,1.611,1.711,1.812,0.861,0.873,0.885,0.899,0.913,0.928,0.945,0.963,0.982,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.261,1.268,1.279,1.294,1.314,1.333,1.352,1.372,1.393,1.413,1.434,1.455,1.476,1.498,1.52,1.543,1.565,1.588,1.612,1.635,1.659,1.684,1.709,1.734,1.759,1.785,1.811,1.838,1.865,1.893,1.917,1.94,1.962,1.981,1.998,2.014,2.031,2.048,2.065,2.082,2.1,2.117,2.135,2.153,2.171,2.189,2.208,2.226,2.245,2.264,2.282,2.299,2.316,2.332,2.347,2.362,2.377,2.392,2.408,2.423,2.439,2.454,2.47,2.486,2.502,2.518,2.534,2.55,2.566,2.583,2.594,2.6,2.601,2.597,2.587,2.578,2.568,2.559,2.55,2.54,2.53,2.517,2.504,2.488,2.472,2.455,2.439,2.422,2.406,2.39,2.376,2.364,2.354,2.345,2.339,2.333,2.326,2.32,2.314,2.305,2.304,2.312,2.33,2.356,2.391,2.427,2.463,2.5,2.538,2.576,2.614,2.652,2.69,2.729,2.767,2.806,2.845,2.885,2.925,2.966,3.01,3.057,3.107,3.161,3.218,3.276,3.335,3.395,3.456,3.518,3.582,3.592,3.665,3.741,3.817,3.891,3.961,4.028,4.094,4.16,4.227,4.297,4.365,4.429,4.492,4.551,4.601,4.642,4.674,4.707,4.755,4.837,4.955,5.105,5.277,5.456,5.641,5.829,6.025,6.234,6.452,6.682,6.923,7.177,7.441,7.715,7.998,8.288,8.578,8.872,9.176,9.488,9.809,10.133,10.458,10.798,11.159,11.537,11.928,12.326,12.73,13.15,13.589,14.05,14.538,15.057,15.602,16.173,16.772,17.399,18.054,18.741,19.459,20.204,20.973,21.76,22.562,23.386,24.231,25.085,25.951,26.814,27.676,28.547,29.425,30.324,31.237,32.165,33.107,34.065,35.037,36.024,37.027,38.043,39.071,40.112,41.166,42.234,43.313,44.402,45.499,46.607,47.725,48.847,49.977,51.115,52.255,53.4,54.549,55.701,56.857,58.016,59.175,60.338,61.502,62.666,63.829,64.99,66.153,67.313,68.461,69.602,70.739,71.871,73.0,74.125,75.24,76.351,77.454,78.543,79.627,80.706,81.778,82.837,83.883,84.919,85.945,86.954,87.945,88.925,89.893,90.848,91.792,92.723,93.639,94.539,95.426,96.299,97.152,97.987,98.805,99.602,100.383,101.148,101.896,102.626,103.337,104.03,104.702,105.352,105.985,106.602
Antigua and Barbuda,0.002,0.007,0.016,0.032,0.066,0.132,0.266,0.534,1.07,2.143,4.289,4.68,5.105,5.57,6.08,6.636,7.243,7.905,8.63,9.42,10.284,11.23,12.264,13.395,14.632,15.989,17.473,19.1,21.216,23.566,26.177,29.077,32.3,35.88,39.857,44.273,49.182,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.091,84.075,84.061,84.045,84.032,84.016,84.002,83.986,83.97,83.864,83.664,83.37,82.986,82.511,82.041,81.57,81.105,80.641,80.18,79.809,79.53,79.336,79.234,79.22,79.207,79.193,79.177,79.164,79.15,79.225,79.386,79.639,79.98,80.411,80.845,81.282,81.72,82.159,82.602,82.864,82.939,82.834,82.543,82.073,81.602,81.136,80.673,80.211,79.752,79.243,78.682,78.075,77.418,76.714,76.016,75.323,74.639,73.959,73.286,72.655,72.066,71.516,71.007,70.539,70.073,69.609,69.148,68.691,68.25,67.941,67.766,67.725,67.816,68.039,68.261,68.486,68.711,68.936,69.161,69.773,70.782,72.2,74.043,76.327,78.682,81.107,83.607,86.186,88.843,91.166,93.139,94.75,95.982,96.82,97.666,98.518,99.38,100.248,101.123,102.186,103.309,105.505,107.682,109.859,112.036,114.282,116.511,118.775,121.091,123.457,125.809,127.873,129.611,131.35,133.368,135.6,137.814,140.077,142.443,144.916,146.673,147.232,147.073,146.555,145.982,145.575,145.48,145.768,146.252,146.889,147.516,147.936,148.286,148.695,148.589,147.882,147.118,146.302,145.459,144.675,143.968,144.666,146.991,149.657,152.48,155.493,158.675,161.893,164.975,167.802,170.614,173.243,175.491,177.489,179.443,181.543,183.884,186.443,189.243,192.15,194.795,197.157,199.291,201.164,202.845,204.45,205.852,207.12,208.282,209.38,210.618,211.884,213.118,214.35,215.518,216.664,217.748,218.814,219.789,220.75,221.625,222.482,223.207,223.9,224.55,225.102,225.582,225.975,226.323,226.58,226.777,226.92,226.959,226.925,226.855,226.705,226.52,226.257,225.925,225.532,225.086,224.593,224.073,223.502,222.889,222.236,221.55,220.825,220.086,219.307,218.511,217.673,216.784,215.902,214.995,214.089,213.152,212.145,211.155,210.145,209.102,208.03,206.984,205.902,204.811,203.702,202.552,201.391,200.218,199.041,197.85,196.652,195.443,194.195,192.961,191.73,190.486,189.248,188.014,186.793,185.573,184.368,183.159,181.968,180.773,179.586,178.436,177.3,176.148,175.018,173.911
Argentina,0.01,0.012,0.013,0.015,0.017,0.019,0.021,0.024,0.028,0.032,0.037,0.04,0.044,0.048,0.051,0.055,0.058,0.062,0.066,0.069,0.073,0.08,0.088,0.095,0.102,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.195,0.19,0.185,0.18,0.175,0.17,0.166,0.161,0.157,0.152,0.153,0.154,0.157,0.161,0.166,0.17,0.175,0.18,0.185,0.19,0.194,0.198,0.202,0.205,0.209,0.213,0.216,0.22,0.224,0.228,0.232,0.236,0.241,0.245,0.25,0.255,0.26,0.265,0.27,0.276,0.284,0.292,0.302,0.313,0.324,0.336,0.349,0.361,0.375,0.387,0.398,0.407,0.416,0.423,0.43,0.438,0.445,0.453,0.46,0.47,0.481,0.493,0.508,0.524,0.541,0.559,0.577,0.596,0.615,0.635,0.655,0.677,0.698,0.721,0.744,0.767,0.792,0.817,0.843,0.87,0.898,0.927,0.956,0.987,1.018,1.051,1.085,1.119,1.155,1.192,1.231,1.272,1.314,1.358,1.403,1.45,1.498,1.548,1.6,1.655,1.713,1.776,1.842,1.913,1.986,2.062,2.14,2.222,2.307,2.389,2.469,2.545,2.617,2.685,2.756,2.828,2.902,2.978,3.056,3.139,3.226,3.318,3.415,3.517,3.622,3.73,3.842,3.957,4.075,4.186,4.29,4.386,4.474,4.553,4.633,4.715,4.798,4.882,4.969,5.058,5.151,5.247,5.346,5.449,5.554,5.661,5.77,5.882,5.995,6.11,6.218,6.341,6.465,6.589,6.712,6.833,6.954,7.076,7.197,7.317,7.436,7.557,7.681,7.807,7.932,8.059,8.186,8.316,8.446,8.577,8.712,8.851,8.994,9.143,9.299,9.455,9.607,9.761,9.919,10.079,10.24,10.404,10.569,10.735,10.901,11.067,11.236,11.407,11.58,11.754,11.926,12.097,12.266,12.434,12.602,12.769,12.931,13.087,13.24,13.393,13.546,13.696,13.843,13.987,14.13,14.277,14.425,14.571,14.716,14.866,15.018,15.172,15.33,15.489,15.648,15.806,15.957,16.098,16.229,16.35,16.456,16.544,16.63,16.726,16.83,16.932,17.033,17.132,17.23,17.327,17.422,17.515,17.607,17.697,17.786,17.873,17.958,18.041,18.122,18.2,18.276,18.348,18.417,18.484,18.548,18.608,18.666,18.72,18.771,18.819,18.863,18.903,18.939,18.972,19.001,19.026,19.047,19.065,19.08,19.091,19.098,19.103,19.104,19.102,19.098,19.091,19.081,19.068,19.052,19.033,19.011,18.987,18.959,18.929,18.896,18.86,18.822,18.782,18.74,18.695,18.649,18.6,18.549,18.495,18.44,18.383,18.325,18.264,18.202,18.139,18.074,18.008,17.941,17.874,17.805,17.736,17.665,17.595,17.523,17.451,17.379
